FID,OBJECTID,SHAPE,BASIS_NAME,BASIS_TYP,BETRIEB,VERWALTUNG,BAUJAHR,DENKMAL,KUENSTLER,BETRIEB_VON,BETRIEB_BIS,AKTIV,SE_ANNO_CAD_DATA,BETREIBER
MONUMENTALBRUOGD.3119922,3119922,POINT (16.379985814792466 48.19907840694268),Marokkanerbrunnen,Monumentalbrunnen,Wiener Wasser,,1999,,"MDAGHRI ALOUI Moulay Hafid, BELLAMINE Kamal",,,07:00-21:00,,Wiener Wasser
MONUMENTALBRUOGD.3119923,3119923,POINT (16.325128679554474 48.19747896445747),Wasserwelt - Lebensbaum,Monumentalbrunnen,Wiener Wasser,,1991,,MUHR Hans,,,08:00-21:00,,Wiener Wasser
MONUMENTALBRUOGD.3119924,3119924,POINT (16.32065210376891 48.19772171499556),Wasserwelt - Wasserbecken A,Monumentalbrunnen,Wiener Wasser,,1995,,VIEHBÖCK Waltrud,,,,,Wiener Wasser
MONUMENTALBRUOGD.3119925,3119925,POINT (16.272195921139783 48.2161535408785),Loiblbrunnen,Monumentalbrunnen,Wiener Wasser,,,,,,,,,Wiener Wasser
MONUMENTALBRUOGD.3119926,3119926,POINT (16.32353064515273 48.19730830841174),Wasserwelt - Wasserlichtbogen,Monumentalbrunnen,Wiener Wasser,,1995,,"GUTTMANN Rudolf, FALKNER Rupert",,,,,Wiener Wasser
MONUMENTALBRUOGD.3119927,3119927,POINT (16.324042587033553 48.19725034891293),Wasserwelt - Denkzeichen (Nakajima),Monumentalbrunnen,Wiener Wasser,,1991,,NAKAJIMA Osamu,,,08:00-21:00,,Wiener Wasser
MONUMENTALBRUOGD.3119928,3119928,POINT (16.355824344550285 48.210669041154624),,Monumentalbrunnen,Wiener Wasser,,,,,,,,,Wiener Wasser
MONUMENTALBRUOGD.3119929,3119929,POINT (16.312933420122327 48.187818817612914),Jungbrunnen,Monumentalbrunnen,Wiener Wasser,,1913,,PANHOLZER Rudolf,,,08:00-21:00,,Wiener Wasser
MONUMENTALBRUOGD.3119930,3119930,POINT (16.40243661224369 48.21543975012564),Zierbrunnen (Walfischbrunnen),Monumentalbrunnen,Wiener Wasser,,,,,,,08:00-21:00,,Wiener Wasser
MONUMENTALBRUOGD.3119931,3119931,POINT (16.36914707151342 48.2091285553416),Josefsbrunnen,Monumentalbrunnen,Wiener Wasser,,1804,,FISCHER Johann Martin,,,07:00-01:00,,Wiener Wasser
MONUMENTALBRUOGD.3119932,3119932,POINT (16.37970870208196 48.20418345751591),Donauweibchenbrunnen,Monumentalbrunnen,Wiener Wasser,,1873,,GASSER Hans,,,07:00-01:00,,Wiener Wasser
MONUMENTALBRUOGD.3119933,3119933,POINT (16.380662936396735 48.20306980136962),Sebastian-Kneipp-Brunnen,Monumentalbrunnen,Wiener Wasser,,1912,,WOLLEK Carl,,,08:00-24:00,,Wiener Wasser
MONUMENTALBRUOGD.3119934,3119934,POINT (16.38069940801728 48.204848895707826),Befreiung-der-Quelle-Brunnen,Monumentalbrunnen,Wiener Wasser,,1903,,HEU Josef,,,07:00-01:00,,Wiener Wasser
MONUMENTALBRUOGD.3119935,3119935,POINT (16.357377235688222 48.22473827244995),Schubertbrunnen,Monumentalbrunnen,Wiener Wasser,,1928,,"MATUSCHEK Franz, STUNDL Theodor",,,08:00-21:00,,Wiener Wasser
MONUMENTALBRUOGD.3119936,3119936,POINT (16.36947007688637 48.20289521307898),Opernbrunnen,Monumentalbrunnen,Wiener Wasser,,1868,,"SICARD VON SICCARDSBURG August, VAN DER NÜLL Eduard, GASSER Hans",,,,,Wiener Wasser
MONUMENTALBRUOGD.3119937,3119937,POINT (16.308908853299506 48.21388462654034),Alter Ort,Monumentalbrunnen,Wiener Wasser,,,,,,,09:00-22:00,,Wiener Wasser
MONUMENTALBRUOGD.3119938,3119938,POINT (16.35321226851899 48.18532957667952),Siebenbrunnen,Monumentalbrunnen,Wiener Wasser,,1904,,KAUFFUNGEN Richard,,,08:00-21:00,,Wiener Wasser
MONUMENTALBRUOGD.3119939,3119939,POINT (16.320685365248274 48.19793375749992),Wasserwelt - Wasserbecken C,Monumentalbrunnen,Wiener Wasser,,1995,,VIEHBÖCK Waltrud,,,,,Wiener Wasser
MONUMENTALBRUOGD.3119940,3119940,POINT (16.38275813947238 48.21018878185538),Ministerienbrunnen (Löwenbrunnen),Monumentalbrunnen,Wiener Wasser,,1912,,BAUMANN Ludwig,,,,,Wiener Wasser
MONUMENTALBRUOGD.3119941,3119941,POINT (16.382619900983787 48.20970611070409),Ministerienbrunnen (Löwenbrunnen),Monumentalbrunnen,Wiener Wasser,,1912,,BAUMANN Ludwig,,,,,Wiener Wasser
MONUMENTALBRUOGD.3119942,3119942,POINT (16.367066559172848 48.191710672155075),Säulenbrunnen (Engelbrunnen),Monumentalbrunnen,Wiener Wasser,,1893,,Anton Paul Wagner,,,,,Wiener Wasser
MONUMENTALBRUOGD.3119943,3119943,POINT (16.372977406209028 48.21088273898186),Vermählungsbrunnen,Monumentalbrunnen,Wiener Wasser,,1732,,"CORRADINI Antonio, FISCHER VON ERLACH Joseph Emanuel",,,07:00-01:00,,Wiener Wasser
MONUMENTALBRUOGD.3119944,3119944,POINT (16.32091184052927 48.19760113328538),Wasserwelt - Wasserbecken B,Monumentalbrunnen,Wiener Wasser,,1995,,VIEHBÖCK Waltrud,,,,,Wiener Wasser
