FID,SHAPE,NAME,BEZIRK,ADRESSE,WEITERE_INF,SE_SDO_ROWID,SE_ANNO_CAD_DATA
MUSEUMOGD.71894,POINT (16.352120747903808 48.210524431197676),Bezirksmuseum Josefstadt,8,"08., Schmiedgasse 18",http://www.bezirksmuseum.at,71894,
MUSEUMOGD.71895,POINT (16.35286191830141 48.193674777222675),Bezirksmuseum Mariahilf,6,"06., Mollardgasse 8",http://www.bezirksmuseum.at,71895,
MUSEUMOGD.71896,POINT (16.334871719151185 48.19500887775556),Bezirksmuseum Rudolfsheim-Fünfhaus,15,"15., Rosinagasse 4 (Ecke Gasgasse)",http://www.bezirksmuseum.at,71896,
MUSEUMOGD.71897,POINT (16.342637818910532 48.22665777773277),Bezirksmuseum Währing,18,"18., Währinger Straße 124",http://www.bezirksmuseum.at,71897,
MUSEUMOGD.71898,POINT (16.365820019117624 48.19075957737827),Bezirksmuseum Wieden,4,"04., Klagbaumgasse 4",,71898,
MUSEUMOGD.71899,POINT (16.396713419602914 48.21751407721184),Chocolate Museum Vienna,2,"02., Riesenradplatz 5",http://www.chocolate-museum.wien,71899,
MUSEUMOGD.71900,POINT (16.263456218932856 48.19774407744809),Rapideum,14,"14., Allianz Stadion; Gerhard-Hanappi-Platz 1",http://www.skrapid.at/rapideum,71900,
MUSEUMOGD.71901,POINT (16.365919818742167 48.19072287799881),Rauchfangkehrermuseum,4,"04., Klagbaumgasse 4",https://www.rauchfangkehrermuseum.at/,71901,
MUSEUMOGD.71902,POINT (16.34207351878682 48.18949727758585),Sanitärhistorisches Museum,6,"06., Mollardgasse 87",https://www.wien.gv.at/ma53/museen/san-his.htm,71902,
MUSEUMOGD.71903,POINT (16.36586315943686 48.20671024819762),Kaiserliche Schatzkammer Wien,1,"01., Hofburg, Schweizerhof",http://www.kaiserliche-schatzkammer.at,71903,
MUSEUMOGD.71904,POINT (16.33113311917415 48.224272077894014),Original Wiener Schneekugelmanufaktur & Schneekugelmuseum,17,"17., Schumanngasse 87",http://www.viennasnowglobe.at/,71904,
MUSEUMOGD.71905,POINT (16.36143021893385 48.19467877779391),Schubert Sterbewohnung,4,"04., Kettenbrückengasse 6",https://www.wienmuseum.at/de/standorte/schubert-sterbewohnung,71905,
MUSEUMOGD.71906,POINT (16.363021319558637 48.218596577946286),Sigmund Freud Museum,9,"09., Berggasse 19",http://www.freud-museum.at,71906,
MUSEUMOGD.71907,POINT (16.365909807673393 48.20782491265158),Silberkammer,1,"01., Hofburg",http://www.sisimuseum-hofburg.at,71907,
MUSEUMOGD.71908,POINT (16.365572287020807 48.207937980507985),Sisi Museum,1,"01., Michaelerplatz",http://www.sisimuseum-hofburg.at,71908,
MUSEUMOGD.71909,POINT (16.31815061944551 48.19094347729864),Technisches Museum Wien,14,"14., Mariahilfer Straße 212",http://www.technischesmuseum.at,71909,
MUSEUMOGD.71910,POINT (16.368475119134708 48.205655977965904),Theatermuseum,1,"01., Lobkowitzplatz 2",http://www.theatermuseum.at,71910,
MUSEUMOGD.71911,POINT (16.369315518613973 48.21081947720232),Uhrenmuseum,1,"01., Schulhof 2",http://www.wienmuseum.at,71911,
MUSEUMOGD.71912,POINT (16.35922277031144 48.202678564757065),Leopold Museum,7,"07., Museumsplatz 1",http://www.leopoldmuseum.org,71912,
MUSEUMOGD.71913,POINT (16.39664451901521 48.217509477499135),Madame Tussauds,2,"02., Riesenradplatz 1",http://www.madametussauds.com/wien/,71913,
MUSEUMOGD.71914,POINT (16.401452118631575 48.261944977278375),Marktamtsmuseum,21,"21., Floridsdorfer Markt 5",https://www.wien.gv.at/freizeit/einkaufen/maerkte/geschichte/marktamtsmuseum.html,71914,
MUSEUMOGD.71915,POINT (16.30857881890406 48.16719767776435),Modesammlung Hetzendorf,12,"12., Hetzendorferstraße 79",http://www.museum.vienna.at,71915,
MUSEUMOGD.71916,POINT (16.35797357751535 48.20375281071237),mumok - Museum moderner Kunst Stiftung Ludwig Wien,7,"07., Museumsplatz 1",http://www.mumok.at/,71916,
MUSEUMOGD.71917,POINT (16.35691191959332 48.21199787783507),Wien Museum MUSA,1,"01., Felderstraße 6-8",https://www.wienmuseum.at,71917,
MUSEUMOGD.71918,POINT (16.345244718686573 48.19963417790033),Museum der Gold- und Silberschmiede,7,"07., Zieglergasse 22",http://www.beyars.com/de_museum-beschreibung.html,71918,
MUSEUMOGD.71919,POINT (16.366978519450523 48.209604077791454),Museum der Illusionen,1,"01., Wallnerstraße 4",https://museumderillusionen.at/,71919,
MUSEUMOGD.71920,POINT (16.405498719517574 48.219394777772614),Circus- & Clownmuseum,2,"02., Ilgplatz 7",http://www.circus-clownmuseum.at/,71920,
MUSEUMOGD.71921,POINT (16.33906981930164 48.19490017730676),Museum für Verhütung und Schwangerschaftsabbruch,15,"15., Mariahilfergürtel 37",http://de.muvs.org,71921,
MUSEUMOGD.71922,POINT (16.35343840806755 48.21853688655616),Narrenturm,9,"09., Spitalgasse 2, Uni-Campus, 6. Hof",http://www.nhm-wien.ac.at/narrenturm,71922,
MUSEUMOGD.71923,POINT (16.36571181834023 48.20947317714502),Österreichische Nationalbibliothek Musiksammlung,1,"01., Herrengasse 9 / Zugang: Palais Mollard",https://www.onb.ac.at/bibliothek/sammlungen/musik,71923,
MUSEUMOGD.71924,POINT (16.36002778170329 48.2051327084841),Naturhistorisches Museum,1,"01., Maria-Theresien-Platz",http://www.nhm-wien.ac.at,71924,
MUSEUMOGD.71925,POINT (16.376173518969352 48.20408517732713),Nitsch Foundation,1,"01., Hegelgasse 5",http://www.nitsch-foundation.com,71925,
MUSEUMOGD.71926,POINT (16.368363104625576 48.2048522228836),Österreichisches Filmmuseum,1,"01., Augustinerstraße 1",http://www.filmmuseum.at/,71926,
MUSEUMOGD.71927,POINT (16.365149825425625 48.20557796062034),Papyrusmuseum,1,"01., Neue Burg, Heldenplatz",http://www.onb.ac.at,71927,
MUSEUMOGD.71928,POINT (16.362063318342187 48.212439277657374),Beethoven Pasqualatihaus,1,"01., Mölker Bastei 8",https://www.wienmuseum.at/de/standorte/beethoven-pasqualatihaus,71928,
MUSEUMOGD.71929,POINT (16.37869524884778 48.22362321886119),Porzellanmuseum im Augarten,2,"02., Obere Augartenstraße 1",https://www.augarten.com,71929,
MUSEUMOGD.71930,POINT (16.394952319208553 48.21623557764301),Pratermuseum,2,"02., Oswald-Thomas-Platz 1",http://www.wienmuseum.at,71930,
