FID,OBJECTID,SHAPE,TEXT13ID,F_TYP,T_TEXT,T_LANG,O,P,O_UEREG,O_REGION,O_LOKAL,P_WLD,P_WAS,P_WIE,P_WGT,P_LW,P_PK,P_GPK,P_GST,P_SGR,P_AGR,P_RGR,P_URB,Q_MOB,Q_SPI,Q_GRI,Q_HUN,Q_BAB,Q_WC,Q_SPO,Q_TRB,UMFANG,FLAECHE,SE_ANNO_CAD_DATA
OEFFGRUENFLOGD.2289,2289,"MULTIPOLYGON (((16.350827449885504 48.23369141309507, 16.349291433432352 48.23380401392043, 16.349246562781207 48.23362780668099, 16.34929313681656 48.233622463007066, 16.349247156609238 48.23331782427982, 16.34917539692111 48.23332176785942, 16.349132425159155 48.233145842731055, 16.348958648842387 48.23316525334681, 16.34894155389117 48.23316722296075, 16.348143085375227 48.23326679711456, 16.347821964626853 48.232231029755226, 16.346946860304595 48.23231811095609, 16.346937160738538 48.232274573175545, 16.346938714075726 48.2322744174475, 16.346936753319238 48.23226388301823, 16.346940118391082 48.232263343110965, 16.346940045513296 48.23226244200096, 16.346940041463316 48.23226238624363, 16.34693917367698 48.23225165206294, 16.346907394361985 48.232245926388906, 16.34688829016167 48.23224248378918, 16.346875497510275 48.23221883291614, 16.34686095424327 48.23219167486389, 16.34684840940815 48.23216856895136, 16.346813015593852 48.232102916617976, 16.346805205376473 48.232088438319614, 16.346796826899517 48.232072888086066, 16.346788737943537 48.2320578729194, 16.346780503561305 48.232042589768724, 16.346739073179133 48.23196569109592, 16.34673868401649 48.23196496807994, 16.346728142025317 48.23194735230661, 16.346717004890877 48.231928817483734, 16.3467081177824 48.23191388961836, 16.34670634988125 48.231911377085744, 16.34669394495801 48.23189375698385, 16.34667831123894 48.231871549754224, 16.346673109876118 48.23186416053299, 16.346645912424147 48.23183016879245, 16.346643740717283 48.23182769136916, 16.346568616080933 48.23167117636062, 16.346469478283318 48.23154804166035, 16.346529013951255 48.231532954723065, 16.34662969903402 48.23150744000594, 16.34678759129686 48.231494877291006, 16.346745275891458 48.23129551491683, 16.346740351287238 48.23127231565538, 16.34678430555699 48.23126781230121, 16.346960903249794 48.23124971950298, 16.347248278080627 48.231220464227455, 16.347437259350624 48.23120362854507, 16.347617009977473 48.231189760325904, 16.347574807469528 48.23099691829367, 16.347793635058796 48.23094518549558, 16.348104832400477 48.230915083896626, 16.348958041872628 48.23073681350904, 16.349361020139465 48.230652737326444, 16.349697027171757 48.23231194050818, 16.350137587002187 48.232272824896164, 16.350522147142833 48.23222528081254, 16.35073275171242 48.23303182933402, 16.350827449885504 48.23369141309507), (16.348958136062777 48.23111368367724, 16.34866079919213 48.231131139859706, 16.348714459755186 48.23149001958398, 16.348958225127497 48.231470038571224, 16.349155417808657 48.23145371535793, 16.349093677945092 48.23110551885232, 16.348958136062777 48.23111368367724), (16.34666013567064 48.23161073382505, 16.346720467888872 48.23183541127065, 16.34678420983825 48.23183125233029, 16.34672974893754 48.231607015942174, 16.34666013567064 48.23161073382505)))",Währinger Pa*,L,Währinger Park,Währinger Park,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1245,1,1460.94145058,57020.13190308,
OEFFGRUENFLOGD.2290,2290,"POLYGON ((16.328861440632373 48.234823855772184, 16.328244220132856 48.234919367613934, 16.32795761491384 48.23498960680287, 16.32765040718716 48.23509413024944, 16.32746031640176 48.235180675408664, 16.32712213753952 48.23532763210667, 16.32728613665522 48.23511012235504, 16.32861243387535 48.23462317946869, 16.328861440632373 48.234823855772184))",Türkenschanz*,L,Türkenschanzplatz,Türkenschanzplatz,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,310.90019614,2002.71599346,
OEFFGRUENFLOGD.2291,2291,"POLYGON ((16.308705083167116 48.22281434700538, 16.30933235611622 48.2228490629726, 16.309405540999858 48.2229005094037, 16.309119223968047 48.22301313894457, 16.309170583918124 48.2230817241254, 16.308416735470352 48.22334600062534, 16.30827906701978 48.223179312635104, 16.308235565984443 48.22298285649621, 16.30825285653207 48.22286763535237, 16.308268109836728 48.222783889900576, 16.308705083167116 48.22281434700538))",Kongreßpark,L,Kongreßpark/Kainzga,Kainzgasse,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,12,1,249.28487584,3243.48478905,
OEFFGRUENFLOGD.2292,2292,"POLYGON ((16.30180853297009 48.2295332199385, 16.301766508026287 48.2294769999684, 16.30422748451939 48.228954418067545, 16.30547900743082 48.228666695917006, 16.305478980243546 48.22871222392433, 16.30539483540163 48.228747330652666, 16.304947850007817 48.22887733093352, 16.30474799405514 48.2289719856162, 16.304332520278873 48.22915819951775, 16.304006463979313 48.22927052372324, 16.30380664034269 48.229330047585215, 16.30340173173354 48.22940019231409, 16.303059958965942 48.229438877638856, 16.30276757801074 48.22942247053717, 16.302465840916625 48.22941060151236, 16.30180853297009 48.2295332199385))",Josef-Kaderk*,L,Josef-Kaderka-Park,Josef-Kaderka-Park,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,596.4859502,5086.63643454,
OEFFGRUENFLOGD.2293,2293,"POLYGON ((16.33483352140439 48.22715570247063, 16.33480008684663 48.22710591758594, 16.33473419218397 48.227112635616955, 16.334675914288376 48.227067848806534, 16.334637422089717 48.227011910668836, 16.334611045189977 48.226895178710066, 16.334534867436787 48.22682828542642, 16.334468245446956 48.22677799545895, 16.33448116885219 48.226701013931205, 16.33457969221759 48.226654340641346, 16.334688194047676 48.226657370960496, 16.334820506935852 48.22659804176502, 16.334799080916845 48.22655496862997, 16.334883740840553 48.2265026292065, 16.335024450290646 48.22650659214714, 16.335117882417542 48.226464696427946, 16.335156292179608 48.226402447688, 16.335269081434756 48.2263359889037, 16.335358450694642 48.22631917227054, 16.335403807897464 48.226336484459885, 16.33568589482609 48.22682015050753, 16.33483352140439 48.22715570247063))",Ebner-Eschen*,L,Ebner-Eschenbach-Park,Ebner-Eschenbach-Park,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,285.00613316,4592.97040017,
OEFFGRUENFLOGD.2294,2294,"POLYGON ((16.247722994121965 48.22007555084836, 16.24749524393468 48.220960363246355, 16.247284328593363 48.22175806554243, 16.24723851055208 48.221794002928334, 16.246956141115163 48.221805869331504, 16.246915791092107 48.22179206674149, 16.246890676078984 48.22176169520005, 16.247063358741773 48.220976329666165, 16.247071102695983 48.220701480939084, 16.24708540301632 48.220446871981466, 16.247253655476552 48.22042845368699, 16.247383681399153 48.22033918417732, 16.247536245655066 48.22012824216536, 16.247634205524534 48.2200566534724, 16.247722994121965 48.22007555084836))",Karl-Bekehrt*,L,Karl-Bekehrty-Straße,Karl-Bekehrty-Straße,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,440.85457885,5670.09752211,
OEFFGRUENFLOGD.2295,2295,"POLYGON ((16.315523477262975 48.23245394162536, 16.31530650025334 48.23242692298751, 16.314476807689182 48.23232334813453, 16.31446823108179 48.23194563285219, 16.315306757727505 48.23179234158873, 16.315531162808124 48.2317510691266, 16.315523477262975 48.23245394162536))",Park Herbeck*,L,Park Herbeckstraße,Parkanlage Herbeckstraße,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,281.1405988,4707.301528,
OEFFGRUENFLOGD.2296,2296,"POLYGON ((16.322083371813086 48.21900360975057, 16.32203410992597 48.21903382088345, 16.322012437064128 48.21905800994028, 16.322004628204898 48.21907122898949, 16.321995873370422 48.21909883704662, 16.3219136464381 48.219109259023455, 16.321894089079866 48.21904085430144, 16.32186791918996 48.219010080813625, 16.32159939374581 48.21824618694952, 16.32163694745057 48.21821612021326, 16.322266352007464 48.218149872953944, 16.3225399972751 48.2189264130198, 16.322506536074236 48.21893057920783, 16.322533622366233 48.21902884754773, 16.32235930025795 48.21905129811575, 16.322316179479433 48.219014879463465, 16.32225576290621 48.218990590539796, 16.32216694688501 48.21898356508854, 16.322083371813086 48.21900360975057))",Clemens-Hofb*,L,Clemens-Hofbauer-Platz,Clemens-Hofbauer-Platz,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,125,1,308.86600838,4863.00085245,
OEFFGRUENFLOGD.2297,2297,"POLYGON ((16.24804174278349 48.20959982877454, 16.248440495537025 48.20962851890588, 16.248624556646536 48.20970791189185, 16.248648073688518 48.20980151502477, 16.24864098095096 48.20985799873341, 16.248453779141016 48.210672304448074, 16.248191176885115 48.21096269722018, 16.24803926047235 48.21104717291787, 16.247126264943272 48.211555430042985, 16.245904837496187 48.211983341963055, 16.24547301959453 48.211999864549476, 16.24505598419359 48.21187868860991, 16.244545483506794 48.21150899914047, 16.24437650607659 48.211330686305395, 16.244382234336534 48.211147454084106, 16.244397903513516 48.21096029525632, 16.24442328711018 48.21046119192735, 16.24456828688226 48.210182517732164, 16.24498218204066 48.20994340217145, 16.245423441371287 48.20982796346693, 16.247707299267578 48.20957568424787, 16.24804174278349 48.20959982877454))",Wolfersberg,L,Wolfersberg,Wolfersberg,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,945.60642002,62097.14716051,
OEFFGRUENFLOGD.2298,2298,"POLYGON ((16.245225088484975 48.20771524260796, 16.244955310938032 48.20772346012228, 16.244456718197096 48.20778685975046, 16.244110418334174 48.207861339252176, 16.244091354959956 48.207831252455975, 16.244977649270353 48.207366278725, 16.24503241699478 48.20733765623713, 16.245046747351495 48.2073663334894, 16.24509154248265 48.20745630119816, 16.24518236545944 48.20745243854731, 16.245225088484975 48.20771524260796))",Franz-Sauer-*,L,Franz-Sauer-Park,Franz-Sauer-Park,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,227.43935148,1921.20971441,
