FID,SHAPE,BETRIEB,BEZIRK,STRASSE,HAUSNUMMER,TEL,INTERNET,SE_SDO_ROWID,SE_ANNO_CAD_DATA
CAMPINGPLATZOGD.380033,POINT (16.25039364042997 48.2137762872585),"Camping Wien West ""Sightseeing and Biking""",14,Hüttelbergstraße 80,,+43 1 914 2314,http://www.campingwien.at,380033,
CAMPINGPLATZOGD.380034,POINT (16.300553600502475 48.150141476395724),"Camping Wien Süd ""Residenz im Schlosspark""",23,Breitenfurter Straße 267,,+43 1 867 3649,http://www.campingwien.at,380034,
CAMPINGPLATZOGD.380035,POINT (16.44587797055578 48.208183687807086),"Camping Neue Donau ""Action & Fun""",22,Am Kaisermühlendamm 123,,+43 1 202 4010,http://www.campingwien.at,380035,
