FID,OBJECTID,SHAPE,NATNR,ARTBEZ,WISSBEZ,BEZ,ADRESSE,ND_TYP,OBJEKTART,SE_ANNO_CAD_DATA
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69cc,1713295,POINT (16.33352576158636 48.193548850866726),649,Rosskastanie,Aesculus hippocastanum,15,"15., Mariahilfer Straße 156-158",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69cd,1713296,POINT (16.333586151652714 48.19361189485319),649,Rosskastanie,Aesculus hippocastanum,15,"15., Mariahilfer Straße 156-158",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69ce,1713297,POINT (16.333573640847582 48.19364669842539),649,Rosskastanie,Aesculus hippocastanum,15,"15., Mariahilfer Straße 156-158",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69cf,1713298,POINT (16.333510826802158 48.19363941248353),649,Rosskastanie,Aesculus hippocastanum,15,"15., Mariahilfer Straße 156-158",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69d0,1713299,POINT (16.333459987053605 48.1935700734101),649,Rosskastanie,Aesculus hippocastanum,15,"15., Mariahilfer Straße 156-158",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69d1,1713300,POINT (16.33336825253265 48.193596061713336),649,Rosskastanie,Aesculus hippocastanum,15,"15., Mariahilfer Straße 156-158",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69d2,1713301,POINT (16.359763167087834 48.21020856848448),562,Geschlitztblättrige Rotbuche,Fagus sylvatica Laciniata,1,"1., Rathauspark -",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69d3,1713302,POINT (16.359173802562488 48.21012559079206),564,Platane,Platanus x hybrida,1,"1., Rathauspark -",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69d4,1713303,POINT (16.35996754310325 48.211067918029656),566,Platane,Platanus x hybrida,1,"1., Rathauspark -",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69d5,1713304,POINT (16.359227812778002 48.21114756903844),567,Platane,Platanus x hybrida,1,"1., Rathauspark -",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69d6,1713305,POINT (16.37996243986511 48.20596557634164),569,Ginkgo,Ginkgo biloba,1,"1., Stadtpark -",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69d7,1713306,POINT (16.374727910738304 48.19355580156737),570,Platane,Platanus x hybrida,4,"4., Plößlgasse 15",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69d8,1713307,POINT (16.257285864580176 48.155936163101536),572,Speierling,Sorbus domestica,23,"23., Jaschkagasse 25-29",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69d9,1713308,POINT (16.35251796155304 48.24021256101369),574,Ginkgo,Ginkgo biloba,19,"19., Kreindlgasse 24(SCHULE)",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69da,1713309,POINT (16.302374679042302 48.18888883962957),576,Blutbuche,Fagus sylvatica Atropurpurea,14,"14., Hadikgasse 72",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69db,1713310,POINT (16.302606364713192 48.18896112323211),577,Platane,Platanus x hybrida,14,"14., Hadikgasse 72",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69dc,1713311,POINT (16.260049196993815 48.18544434774628),578,Stieleiche,Quercus robur,13,"13., Winzerstraße 15",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69dd,1713312,POINT (16.260164755738902 48.18541978264515),579,Stieleiche,Quercus robur,13,"13., Winzerstraße 15",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69de,1713313,POINT (16.334585438174056 48.22803398598478),581,Winterlinde,Tilia cordata,18,"18., Klostergasse 37",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69df,1713314,POINT (16.290053159893773 48.14822359156147),583,Schwarzkiefer,Pinus nigra,23,"23., Mayer v.Rosenau-Park -",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69e0,1713315,POINT (16.353900708556324 48.2533692578365),584,Rotföhre,Pinus sylvestris,19,"19., Grinzinger Straße 72",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69e1,1713316,POINT (16.35424848671497 48.25321110400063),585,Schwarzkiefer,Pinus nigra,19,"19., Grinzinger Straße 72",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69e2,1713317,POINT (16.354251732118115 48.2532493243735),585,Schwarzkiefer,Pinus nigra,19,"19., Grinzinger Straße 72",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69e3,1713318,POINT (16.35429940037602 48.2532429317152),585,Schwarzkiefer,Pinus nigra,19,"19., Grinzinger Straße 72",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69e4,1713319,POINT (16.353825059207093 48.25306925804348),586,Schwarzkiefer,Pinus nigra,19,"19., Grinzinger Straße 72",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69e5,1713320,POINT (16.353984492017894 48.253049088743154),586,Schwarzkiefer,Pinus nigra,19,"19., Grinzinger Straße 72",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69e6,1713321,POINT (16.35373412885304 48.25297169632776),586,Schwarzkiefer,Pinus nigra,19,"19., Grinzinger Straße 72",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69e7,1713322,POINT (16.35385706760812 48.2529501838127),586,Schwarzkiefer,Pinus nigra,19,"19., Grinzinger Straße 72",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_69e8,1713323,POINT (16.353994147768944 48.25293451451728),586,Schwarzkiefer,Pinus nigra,19,"19., Grinzinger Straße 72",Baumgruppe (ab 4 Bäumen),?,
