FID,OBJECTID,SHAPE,NATNR,ARTBEZ,WISSBEZ,BEZ,ADRESSE,ND_TYP,OBJEKTART,SE_ANNO_CAD_DATA
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a27,1713386,POINT (16.355443306039273 48.22091336170834),786,Platanen Baumzeile,Platanus,9,"9., Währinger Straße 40-42",Baumzeile,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a28,1713387,POINT (16.35537361328504 48.22096265612934),786,Platanen Baumzeile,Platanus,9,"9., Währinger Straße 40-42",Baumzeile,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a29,1713388,POINT (16.355240144825828 48.221050541952316),786,Platanen Baumzeile,Platanus,9,"9., Währinger Straße 40-42",Baumzeile,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a2a,1713389,POINT (16.35518242567451 48.22109048133787),786,Platanen Baumzeile,Platanus,9,"9., Währinger Straße 40-42",Baumzeile,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a2b,1713390,POINT (16.35513062737599 48.221129070735934),786,Platanen Baumzeile,Platanus,9,"9., Währinger Straße 40-42",Baumzeile,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a2c,1713391,POINT (16.355062950714306 48.22117296871386),786,Platanen Baumzeile,Platanus,9,"9., Währinger Straße 40-42",Baumzeile,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a2d,1713392,POINT (16.355015188140438 48.221207600386954),786,Platanen Baumzeile,Platanus,9,"9., Währinger Straße 40-42",Baumzeile,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a2e,1713393,POINT (16.354957469132216 48.22124888863836),786,Platanen Baumzeile,Platanus,9,"9., Währinger Straße 40-42",Baumzeile,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a2f,1713394,POINT (16.354895712671905 48.22129017751951),786,Platanen Baumzeile,Platanus,9,"9., Währinger Straße 40-42",Baumzeile,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a30,1713395,POINT (16.354843912022556 48.22132346079982),786,Platanen Baumzeile,Platanus,9,"9., Währinger Straße 40-42",Baumzeile,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a31,1713396,POINT (16.354784175501408 48.22136870629945),786,Platanen Baumzeile,Platanus,9,"9., Währinger Straße 40-42",Baumzeile,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a32,1713397,POINT (16.292895377734244 48.22778296144203),787,Kalifornische Flusszeder,Calocedrus decurrens,17,"17., Pointengasse 4 - 6",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a33,1713398,POINT (16.4255650605768 48.26141933811063),788,Silberpappel,Populus alba,21,"21., Türkisgasse 2",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a34,1713399,POINT (16.427535941065944 48.20325077991663),790,Schwarzpappel,Populus nigra,2,"2., Prater -",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a35,1713400,POINT (16.36256530478427 48.197411136092406),791,Kirschlorbeer,Prunus laurocerasus,4,"4., Rechte Wienzeile 25-27",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a36,1713401,POINT (16.399507694396373 48.2583198096837),792,Trauerschnurbaum,Sophora japonica pendula,21,"21., Pius-Parsch-Platz 3",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a37,1713402,POINT (16.351790611167974 48.20418303344545),794,Feldulme,Ulmus minor,7,"7., Burggasse 39",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a38,1713403,POINT (16.347243919303402 48.19989118423764),797,Götterbaum,Ailanthus altissima,7,"7., Lindengasse 46",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a39,1713404,POINT (16.29834393899926 48.191945559556984),798,Gewöhnlicher Buchsbaum,Buxus sempervirens,14,"14., Cumberlandstraße 71",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a3a,1713405,POINT (16.423867437831788 48.17986903756096),799,Platane,Platanus x hybrida,11,"11., Kopalgasse 55-61",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a3b,1713406,POINT (16.42398915104108 48.17987937679235),799,Platane,Platanus x hybrida,11,"11., Kopalgasse 55-61",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a3c,1713407,POINT (16.266467530772648 48.18828776675386),800,Baumhasel,Corylus colurna,13,"13., Wolfrathplatz 1",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a3d,1713408,POINT (16.34959141332838 48.232519458903056),801,Stieleiche,Quercus robur,18,"18., Semperstraße VOR 64A(STAND)",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a3e,1713409,POINT (16.42392089365627 48.25924903183524),802,Schwarzer Hollunder,Sambucus nigra,21,"21., Hassingergasse 29",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a3f,1713410,POINT (16.440464940856852 48.15652686299559),803,Doppelte Rosskastanienallee,Aesculus hippocastanum,11,"11., Simmeringer Hauptstraße 337",Baumzeile,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a40,1713411,POINT (16.440711637310326 48.156488057546724),803,Doppelte Rosskastanienallee,Aesculus hippocastanum,11,"11., Simmeringer Hauptstraße 337",Baumzeile,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a41,1713412,POINT (16.299840405803206 48.191755384898094),804,Magnolie,Magnolia x hybrida,14,"14., Ameisgasse 22",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a42,1713413,POINT (16.333398111224913 48.19362735891265),649,Rosskastanie,Aesculus hippocastanum,15,"15., Mariahilfer Straße 156-158",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a43,1713414,POINT (16.33347060742817 48.19367826236845),649,Rosskastanie,Aesculus hippocastanum,15,"15., Mariahilfer Straße 156-158",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a44,1713415,POINT (16.332898015876747 48.19364821025479),650,Rosskastanie,Aesculus hippocastanum,15,"15., Mariahilfer Straße 158",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a45,1713416,POINT (16.308272466715966 48.15817631880383),654,Pyramidenpappel,Populus nigra 'Italica',23,"23., Puccinigasse -",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a46,1713132,POINT (16.31039677573896 48.17180470319908),425,Wintergrüne Eiche,Quercus turneri Pseudoturneri,12,"12., Schöpfergasse 8",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a47,1713133,POINT (16.223634351705833 48.212167111637854),426,Sommerlinde,Tilia platyphyllos,14,"14., Mauerbachstraße 34",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a48,1713134,POINT (16.29164216672479 48.186605937127766),427,Ginkgo,Ginkgo biloba,13,"13., Neue-Welt-Gasse 14",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a49,1713135,POINT (16.437840225159167 48.19807875090188),430,Esche,Fraxinus excelsior,2,"2., Prater-Stemmerallee -",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a4a,1713136,POINT (16.22344404907129 48.2127382642616),431,Rosskastanie,Aesculus hippocastanum,14,"14., Mauerbachstraße 36",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a4b,1713137,POINT (16.223994222188402 48.21275085309917),431,Riesenlebensbaum,Thuja plicata,14,"14., Mauerbachstraße 36",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a4c,1713138,POINT (16.224091138426058 48.21273449000209),431,Pyramideneiche,"Quercus robur ""Fastigiata""",14,"14., Mauerbachstraße 36",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a4d,1713139,POINT (16.224411384775323 48.21242408604708),431,Fichte,Picea abies,14,"14., Mauerbachstraße 36",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a4e,1713140,POINT (16.22413034231404 48.21289757518873),432,Schwarzkiefer,Pinus nigra,14,"14., Mauerbachstraße 38",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a4f,1713141,POINT (16.224519676260332 48.21268355555897),432,Winterlinde,Tilia cordata,14,"14., Mauerbachstraße 38",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a50,1713142,POINT (16.224901050865984 48.212477530865236),432,Fichte,Picea abies,14,"14., Mauerbachstraße 38",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a51,1713143,POINT (16.259651582419266 48.1937219212221),433,Winterlinde,Tilia cordata,13,"13., Schloßberggasse 8",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a52,1713144,POINT (16.26011098671542 48.19367815903615),433,Eibe,Taxus baccata,13,"13., Schloßberggasse 8",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a53,1713145,POINT (16.259754032149218 48.19402317306274),433,Spitzahorn,Acer platanoides,13,"13., Schloßberggasse 8",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a54,1713146,POINT (16.259932103548387 48.193761947571915),433,Teich samt Quelle,-,13,"13., Schloßberggasse 8",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a55,1713147,POINT (16.26074886061404 48.19355591122641),433,Ginkgo,Ginkgo biloba,13,"13., Schloßberggasse 8",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a56,1713148,POINT (16.342372354036954 48.232295157950155),435,Schwarznuss,Juglans nigra,18,"18., Cottagegasse 46",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a57,1713149,POINT (16.49743521581701 48.24916039060628),436,Stieleiche,Quercus robur,22,"22., Hausfeldstraße 204",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a58,1713150,POINT (16.276673428460715 48.19425665094665),438,Eibe,Taxus baccata,14,"14., Baumgartenstraße 81",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a59,1713151,POINT (16.364126286871024 48.263898280657386),439,Geologischer Aufschluss,Kalkklippen,19,"19., Eichelhofstraße -",Geologischer Aufschluss,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a5a,1713152,POINT (16.364015207219353 48.263971781540135),439,Geologischer Aufschluss,Kalkklippen,19,"19., Eichelhofstraße -",Geologischer Aufschluss,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a5b,1713153,POINT (16.244488350644595 48.14892906809228),441,Neolithischer Feuerstein-Bergbau,-,23,"23., Antonshöhe -",Geologischer Aufschluss,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a5c,1713154,POINT (16.254625310158847 48.139867118707116),442,Geologischer Aufschluss,Kalkklippen,23,"23., oberhalb des Kalksburger Friedhofs -",Geologischer Aufschluss,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a5d,1713155,POINT (16.293680549459197 48.227366599517886),443,Riesenmammutbaum,Sequoiadendron giganteum,17,"17., Pointengasse 9 - 11",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a5e,1713156,POINT (16.294564671159428 48.22723760046082),443,Riesenmammutbaum,Sequoiadendron giganteum,17,"17., Pointengasse 9 - 11",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a5f,1713157,POINT (16.31950133582672 48.18655695553865),444,Graupappel,Populus x canescens,15,"15., Auer-Welsbach-Park -",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a60,1713158,POINT (16.297177656259073 48.18398272469648),445,Morgenländische Platane,Platanus orientalis,13,"13., Wattmanngasse 8",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a61,1713159,POINT (16.299426816137807 48.182900586511764),446,Eibe,Taxus baccata,13,"13., Maxingstraße 18",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a62,1713160,POINT (16.261035459555547 48.187227009826124),449,Eibe,Taxus baccata,13,"13., Veitlissengasse 4a",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a63,1713161,POINT (16.358200323546633 48.220112560630206),450,Bergahorn,Acer pseudoplatanus,9,"9., Währinger Straße 30",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a64,1713162,POINT (16.35731589653881 48.220121270535564),450,Bergahorn,Acer pseudoplatanus,9,"9., Währinger Straße 30",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a65,1713163,POINT (16.357271040753584 48.219692123212006),450,Schwarznuss,Juglans nigra,9,"9., Währinger Straße 30",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a66,1713164,POINT (16.35728503634829 48.219691760909726),450,Schwarznuss,Juglans nigra,9,"9., Währinger Straße 30",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a67,1713165,POINT (16.3409059472811 48.27430456605899),451,Orchideen-Standort,-,19,"19., Ostseite des Kahlenberges -",Standort besonderer Pflanzen-/Tiergemeinschaften,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a68,1713166,POINT (16.355428732325908 48.188932466376784),454,Robinie,Robinia pseudoacacia,5,"5., Margaretenstraße 103",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a69,1713167,POINT (16.25852841352586 48.195173577235295),455,Winterlinde,Tilia cordata,13,"13., Vinzenz-Heß-Gasse 14",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a6a,1713168,POINT (16.348183999783178 48.22814137277348),456,Sommerlinde,Tilia platyphyllos,18,"18., Michaelerstraße 9",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a6b,1713169,POINT (16.354702052103924 48.24397613906016),457,Morgenländische Platane,Platanus orientalis,19,"19., Döblinger Hauptstraße 87-93",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a6c,1713170,POINT (16.350742214736435 48.23312159176827),458,Stieleiche,Quercus robur,19,"19., Währinger Park -",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a6d,1713171,POINT (16.355784403004698 48.21302815064702),459,Morgenländische Platane,Platanus orientalis,8,"8., Landesgerichtsstraße -",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a6e,1713172,POINT (16.24391106726262 48.15174953868412),460,Traubeneiche,Quercus petraea,23,"23., Mauer, Schießstätte -",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a6f,1713173,POINT (16.24341210949547 48.151493907116254),460,Traubeneiche,Quercus petraea,23,"23., Mauer, Schießstätte -",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a70,1713174,POINT (16.243304134526475 48.15144984267476),460,Traubeneiche,Quercus petraea,23,"23., Mauer, Schießstätte -",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a71,1713175,POINT (16.243977717691276 48.15130496286448),460,Traubeneiche,Quercus petraea,23,"23., Mauer, Schießstätte -",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a72,1713176,POINT (16.24383433324293 48.15122129995549),460,Traubeneiche,Quercus petraea,23,"23., Mauer, Schießstätte -",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a73,1713177,POINT (16.24383433324293 48.15122129995549),460,Schwarzkiefer,Pinus nigra,23,"23., Mauer, Schießstätte -",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a74,1713178,POINT (16.24383433324293 48.15122129995549),460,Schwarzkiefer,Pinus nigra,23,"23., Mauer, Schießstätte -",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a75,1713179,POINT (16.340861866431872 48.2112318097678),462,Sommerlinde,Tilia platyphyllos,8,"8., Josefstädter Straße 80",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a76,1713180,POINT (16.355220637695975 48.1986225401813),463,Baumhasel,Corylus colurna,6,"6., Windmühlgasse 28(KAMMER F.ARB.U.ANG.F.NOE.)",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a77,1713181,POINT (16.355108560034186 48.198559965819975),463,Baumhasel,Corylus colurna,6,"6., Windmühlgasse 28(KAMMER F.ARB.U.ANG.F.NOE.)",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a78,1713182,POINT (16.297720734914 48.17996327926375),464,Eibe,Taxus baccata,13,"13., Weidlichgasse 4",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a79,1713183,POINT (16.297737613717285 48.180049620243),464,Baumhasel,Corylus colurna,13,"13., Weidlichgasse 4",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a7a,1713184,POINT (16.299021995794835 48.22840041600708),465,Winterlinde,Tilia cordata,17,"17., Dornbacher Straße 51",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a7b,1713185,POINT (16.29548044818502 48.18218564346061),468,Baumhasel,Corylus colurna,13,"13., Gloriettegasse 10",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a7c,1713186,POINT (16.458354703898976 48.1597088694266),470,Roßkastanienallee,Aesculus hippocastanum,11,"11., Meidlgasse -",Baumzeile,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a7d,1713187,POINT (16.29217479700628 48.2531892021037),471,Rotföhre,Pinus sylvestris,19,"19., Sulzweg 11",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a7e,1713188,POINT (16.338217895958483 48.24719924012546),473,Platane,Platanus x hybrida,19,"19., Traklgasse 11",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a7f,1713189,POINT (16.306173636951 48.150032083248185),474,Roßkastanienallee,Aesculus hippocastanum,23,"23., Gregorygasse -",Allee,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a80,1713190,POINT (16.306602750753108 48.14979890779167),474,Roßkastanienallee,Aesculus hippocastanum,23,"23., Gregorygasse -",Allee,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a81,1713191,POINT (16.31426114885026 48.23871365671252),475,Schwarzkiefer,Pinus nigra,18,"18., Franz-Barwig-Weg 8",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a82,1713192,POINT (16.31444964700814 48.2386566756969),475,Schwarzkiefer,Pinus nigra,18,"18., Franz-Barwig-Weg 8",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a83,1713193,POINT (16.352245993240913 48.237579668559235),476,Esche,Fraxinus excelsior,19,"19., Reithlegasse 6",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a84,1713194,POINT (16.359082729353393 48.20685072811747),477,Persische Parrotie (Eisenholzbaum),Parrotia persica,1,"1., Schmerlingplatz -",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a85,1713195,POINT (16.218310765538046 48.189314647638255),478,Urwald am Johannserkogel,-,13,"13., Lainzer Tiergarten --",Wald,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a86,1713196,POINT (16.29235607326075 48.228863828611466),500,Riesenmammutbaum,Sequoiadendron giganteum,17,"17., Heuberggasse 13",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a87,1713197,POINT (16.33315211676839 48.246678336755224),501,Spitzahorn,Acer platanoides,19,"19., Sieveringer Straße 77",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a88,1713198,POINT (16.27389844930943 48.13609594603211),503,Baumhasel,Corylus colurna,23,"23., Josef Schöffel-Gasse 36",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a89,1713199,POINT (16.35573027337834 48.23831054219579),505,Esche,Fraxinus excelsior,19,"19., Döblinger Hauptstraße 60",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a8a,1713200,POINT (16.32143233142663 48.25229653925968),507,Winterlinde,Tilia cordata,19,"19., Fröschelgasse 12",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a8b,1713201,POINT (16.25461964539774 48.19756972903687),509,Blutbuche,Fagus sylvatica Atropurpurea,13,"13., Auhofstraße 241",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a8c,1713202,POINT (16.254601416276728 48.19744390070977),509,Sommerlinde,Tilia platyphyllos,13,"13., Auhofstraße 241",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a8d,1713203,POINT (16.28271228007839 48.13653143115966),511,Baumhasel,Corylus colurna,23,"23., Dirmhirngasse 138(SCHULE)",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a8e,1713204,POINT (16.28271228007839 48.13653143115966),511,Baumhasel,Corylus colurna,23,"23., Dirmhirngasse 138(SCHULE)",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a8f,1713205,POINT (16.334203872920433 48.25990161593591),513,Eibe,Taxus baccata,19,"19., Cobenzlgasse 45",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a90,1713206,POINT (16.33428131559836 48.25985449315895),513,Eibe,Taxus baccata,19,"19., Cobenzlgasse 45",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a91,1713207,POINT (16.288296473832784 48.242988513887134),517,"Baumzeile, großtenteils aus Zerreichen bestehend, einschließlich des U",Quercus cerris,17,"17., Geroldgasse -",Baumzeile,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a92,1713208,POINT (16.344837872909213 48.25478672212041),523,Rosskastanie,Aesculus hippocastanum,19,"19., Grinzinger Straße 19",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a93,1713209,POINT (16.322981186954827 48.23024718727061),524,Krimlinde,Tilia x euchlora,18,"18., Schindlergasse 41",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a94,1713210,POINT (16.392376771076965 48.23304760921094),525,Silberpappel,Populus alba,2,"2., Engerthstraße 148",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a95,1713211,POINT (16.39268315226726 48.23317884930285),525,Schwarzpappel,Populus nigra,2,"2., Engerthstraße 148",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a96,1713212,POINT (16.281664790667495 48.215786028443375),527,Ginkgo,Ginkgo biloba,16,"16., Hertlgasse 3",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a97,1713213,POINT (16.214041593560243 48.2065397096457),530,Schwarzkiefer,Pinus nigra,13,"13., Hofjägerstraße -",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a98,1713214,POINT (16.214104172845673 48.20658869923003),530,Schwarzkiefer,Pinus nigra,13,"13., Hofjägerstraße -",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a99,1713215,POINT (16.256769905731293 48.19634158796615),531,Morgenländische Platane,Platanus orientalis,13,"13., Raschgasse 1",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a9a,1713216,POINT (16.35294113081811 48.240312054310905),533,Sommerlinde,Tilia platyphyllos,19,"19., Dollinergasse 5",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a9b,1713217,POINT (16.352799572305575 48.24011530436747),533,Sommerlinde,Tilia platyphyllos,19,"19., Dollinergasse 5",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a9c,1713218,POINT (16.352728472509973 48.24006522269679),533,Sommerlinde,Tilia platyphyllos,19,"19., Dollinergasse 5",Baumgruppe (ab 4 Bäumen),?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a9d,1713219,POINT (16.311689487595235 48.249311042932355),534,Schwarzkiefer,Pinus nigra,19,"19., Hackenbergweg 45/PARZ. 2",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a9e,1713220,POINT (16.311732445820976 48.249302238762375),534,Schwarzkiefer,Pinus nigra,19,"19., Hackenbergweg 45/PARZ. 2",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6a9f,1713221,POINT (16.311775407191803 48.249286779641864),534,Schwarzkiefer,Pinus nigra,19,"19., Hackenbergweg 45/PARZ. 2",Einzelbaum,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6aa0,1713222,POINT (16.244302898556626 48.152014525512485),535,Waldbestand,-,23,"23., Mauer, Schießstätte -",Wald,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6aa1,1713223,POINT (16.248042487352375 48.14150318443751),536,Himmelwiese,-,23,"23., Neuberg (nächst Kalksburger Str.) -",Wiese,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6aa2,1713224,POINT (16.25037292612513 48.149210963201455),537,Kiefernbestand,Pinus,23,"23., Georgenberg -",Wald,?,
NATDENKMALPKTOGD.fid--47a0a51d_1807f4594fb_6aa3,1713225,POINT (16.333619435268538 48.18687064666368),538,Silberlinde,Tilia tomentosa,15,"15., Stiegergasse 11",Einzelbaum,?,
