FID,SHAPE,BEZIRK,KREUZUNG,ANL_TYPE,ANL_NR,SE_SDO_ROWID,SE_ANNO_CAD_DATA
AKUSTISCHEAMPELOGD.293481,POINT (16.215780016696943 48.208811860291284),14,Wientalstraße-Ausfahrt Auhof Center,Verkehrslichtsignalanlage,V14085-01,293481,
AKUSTISCHEAMPELOGD.293482,POINT (16.35392405021871 48.19422281972436),6,Linke Wienzeile-Esterházygasse,Verkehrslichtsignalanlage,V06072-01,293482,
AKUSTISCHEAMPELOGD.293483,POINT (16.354290537182337 48.21222737081917),8,Florianigasse-Wickenburggasse,Verkehrslichtsignalanlage,V08048-01,293483,
AKUSTISCHEAMPELOGD.293484,POINT (16.314952059377415 48.17117548553401),12,Altmannsdorfer Str.-Laskegasse,Verkehrslichtsignalanlage,V12013-01,293484,
AKUSTISCHEAMPELOGD.293485,POINT (16.303217003973224 48.155646523814674),,Breitenfurter Str.-Onr. 148A,Verkehrslichtsignalanlage,V23037-01,293485,
AKUSTISCHEAMPELOGD.293486,POINT (16.305476104836163 48.157254347770746),23,Breitenfurter Str.-Gregorygasse,Verkehrslichtsignalanlage,V23040-01,293486,
AKUSTISCHEAMPELOGD.293488,POINT (16.296115838563978 48.151245806611605),23,Atzgersdorfer Straße-Ziedlergasse,Verkehrslichtsignalanlage,V23042-01,293488,
AKUSTISCHEAMPELOGD.293489,POINT (16.30883641649457 48.13658707697668),,Perfektastraße_ON 86-,Verkehrslichtsignalanlage,V23095-01,293489,
AKUSTISCHEAMPELOGD.293490,POINT (16.356269499481865 48.18345303345923),5,Reinprechtsdorfer Str.-Storkgasse,Verkehrslichtsignalanlage,V05074-01,293490,
AKUSTISCHEAMPELOGD.293491,POINT (16.35719867155665 48.182557656303736),5,Reinprechtsdorfer Str.-Onr.10,Verkehrslichtsignalanlage,V05075-01,293491,
AKUSTISCHEAMPELOGD.293492,POINT (16.466785765159045 48.19358457216328),22,Biberhaufenweg-Raffineriestraße,Verkehrslichtsignalanlage,V22098-01,293492,
AKUSTISCHEAMPELOGD.293122,POINT (16.41170893488862 48.270864790497065),21,Shuttleworthstr.-Divischg.,Verkehrslichtsignalanlage,V21091-01,293122,
