FID,SHAPE,BEZIRK,KREUZUNG,ANL_TYPE,ANL_NR,SE_SDO_ROWID,SE_ANNO_CAD_DATA
AKUSTISCHEAMPELOGD.293258,POINT (16.369405550126398 48.223878640705465),2,Obere Donaustr.-Scholzg.,geregelter Fußgängerübergang,V02034-01,293258,
AKUSTISCHEAMPELOGD.293259,POINT (16.364255736897164 48.18752113357131),5,Wiedner Hauptstr.-Hartmanng.,Verkehrslichtsignalanlage,V05009-01,293259,
AKUSTISCHEAMPELOGD.293260,POINT (16.387457347124098 48.205059464986185),3,Landstr. Hptstr.-Beatrixg._Gärtnerg.,Verkehrslichtsignalanlage,V03024-01,293260,
AKUSTISCHEAMPELOGD.293261,POINT (16.31127220056203 48.17091519086705),12,Edelsinnstr.-Schönbrunner Allee,Verkehrslichtsignalanlage,V12012-01,293261,
AKUSTISCHEAMPELOGD.293262,POINT (16.382181340061706 48.154266030110826),10,Favoritenstr.-Alaudag.,Verkehrslichtsignalanlage,V10021-01,293262,
AKUSTISCHEAMPELOGD.293263,POINT (16.31597339690454 48.20933472952868),16,Koppstr.-Zagorskig.Pfenniggeldg,Verkehrslichtsignalanlage,V16041-01,293263,
AKUSTISCHEAMPELOGD.293264,POINT (16.399731719352054 48.18894868915748),3,Landstr. Hptstr.-Rennweg,Verkehrslichtsignalanlage,V03010-01,293264,
AKUSTISCHEAMPELOGD.293265,POINT (16.348879881042315 48.17495009177899),,Kundratstr.-K.F.J. Spital,Verkehrslichtsignalanlage,V10087-01,293265,
AKUSTISCHEAMPELOGD.293266,POINT (16.33578915256849 48.184762474748595),12,Schönbrunner Str.-Längenfeldg.,Verkehrslichtsignalanlage,V12038-01,293266,
AKUSTISCHEAMPELOGD.293268,POINT (16.38496769073826 48.28433249217425),21,Prager Str.-Mühlweg,Verkehrslichtsignalanlage,V21074-01,293268,
AKUSTISCHEAMPELOGD.293269,POINT (16.362180398404057 48.190135780574266),5,Mittersteig-Ziegelofeng.,Verkehrslichtsignalanlage,V05019-01,293269,
AKUSTISCHEAMPELOGD.293271,POINT (16.399059109736413 48.204103206083715),2,Schüttelstr.-Halmg.,geregelter Fußgängerübergang,V02068-01,293271,
AKUSTISCHEAMPELOGD.293274,POINT (16.464411176937464 48.154487593727836),11,Svetelskystr.-Rosa-Jochmann-Ring,Verkehrslichtsignalanlage,V11037-01,293274,
AKUSTISCHEAMPELOGD.293275,POINT (16.43126596231363 48.16560790999847),11,Kaiser-Ebersd.-Str.-Fl.Hedorfer-Str.,Verkehrslichtsignalanlage,V11015-01,293275,
AKUSTISCHEAMPELOGD.293277,POINT (16.321205772029995 48.208531803903625),16,Koppstr.-Brüßlg.,Verkehrslichtsignalanlage,V16022-01,293277,
AKUSTISCHEAMPELOGD.293279,POINT (16.373682396050786 48.18597882740641),4,Südtiroler Platz-Favoritenstr_LaxenbStr,Verkehrslichtsignalanlage,V04026-01,293279,
AKUSTISCHEAMPELOGD.293280,POINT (16.36395109385295 48.18698215211533),5,Wiedner Hauptstr.-Kriehuberg.,Verkehrslichtsignalanlage,V05037-01,293280,
AKUSTISCHEAMPELOGD.293281,POINT (16.371939643168393 48.19014106911798),4,Favoritenstr.-Rainerg._Belvedereg,Verkehrslichtsignalanlage,V04020-01,293281,
AKUSTISCHEAMPELOGD.293282,POINT (16.27887054355418 48.20397693518472),14,Flötzersteig-Waidhausenstr.,Verkehrslichtsignalanlage,V14053-01,293282,
AKUSTISCHEAMPELOGD.293283,POINT (16.373047398724513 48.188133515275815),4,Favoritenstr.-Weyringerg.,Verkehrslichtsignalanlage,V04019-01,293283,
AKUSTISCHEAMPELOGD.293284,POINT (16.4232331686831 48.21226397928813),2,Handelskai-Meiereistr.,Verkehrslichtsignalanlage,V02002-01,293284,
AKUSTISCHEAMPELOGD.293285,POINT (16.344692643514247 48.185834062738785),5,Margaretengürtel-Margaretenstr.,Verkehrslichtsignalanlage,V05027-01,293285,
AKUSTISCHEAMPELOGD.293286,POINT (16.3601343451639 48.20867415866162),1,Dr.Karl Renner Ring-Stadiong.,Verkehrslichtsignalanlage,V01013-01,293286,
AKUSTISCHEAMPELOGD.293288,POINT (16.35641043471769 48.19208011398723),5,Schönbrunner Str.-Pilgramg.,Verkehrslichtsignalanlage,V05021-01,293288,
AKUSTISCHEAMPELOGD.293289,POINT (16.284069321202534 48.16824920377359),13,Speisinger Strasse-Wolkersbergenstr.,Verkehrslichtsignalanlage,V13012-01,293289,
AKUSTISCHEAMPELOGD.293291,POINT (16.3800334006756 48.20178396854984),3,Am Heumarkt-Johannesg._Beatrixg.,Verkehrslichtsignalanlage,V03041-01,293291,
AKUSTISCHEAMPELOGD.293293,POINT (16.393121381400793 48.219303936408124),2,Praterstern-Lassallestr.,Verkehrslichtsignalanlage,V02005-01,293293,
AKUSTISCHEAMPELOGD.293294,POINT (16.326936582657652 48.18678001405947),15,Sechshauser Str.-Braunhirscheng_Heinickeng.,geregelter Fußgängerübergang,V15035-01,293294,
AKUSTISCHEAMPELOGD.293295,POINT (16.47866110061485 48.21105524587447),22,Biberhaufenweg-Plattensteinerg.,geregelter Fußgängerübergang,V22027-01,293295,
AKUSTISCHEAMPELOGD.293296,POINT (16.288278463490812 48.13822175206364),23,Breitenfurter Str.-Rosa_Tree_Gasse,Verkehrslichtsignalanlage,V23035-01,293296,
AKUSTISCHEAMPELOGD.293298,POINT (16.428811967359945 48.16214408042907),11,Simmeringer Hptstr.-Fl.Hedorfer-Str_Weißenb,Verkehrslichtsignalanlage,V11014-01,293298,
AKUSTISCHEAMPELOGD.293300,POINT (16.362324164931227 48.23462369985809),20,Brigittenauer Lände-Leipzigerstr.,geregelter Fußgängerübergang,V20033-01,293300,
AKUSTISCHEAMPELOGD.293301,POINT (16.36609257976618 48.19970759288665),1,Rechte Wienzeile-Getreidemarkt,Verkehrslichtsignalanlage,V01003-01,293301,
AKUSTISCHEAMPELOGD.293302,POINT (16.434233970308917 48.20338105728076),2,Wehlistr.-Praterbr.Unb.Gasse 4 Ri. Nord,Verkehrslichtsignalanlage,V02008-01,293302,
AKUSTISCHEAMPELOGD.293303,POINT (16.37735098747447 48.20136335893341),1,Lothringer Str.-ON 22,geregelter Fußgängerübergang,V01060-01,293303,
AKUSTISCHEAMPELOGD.293304,POINT (16.28978670974237 48.150507174360506),23,Gatterederstr.-ON 11 -15,geregelter Fußgängerübergang,V23081-01,293304,
AKUSTISCHEAMPELOGD.293305,POINT (16.337346368500157 48.20740328082325),16,Lerchenf. Gürtel-Hasnerstr.,Verkehrslichtsignalanlage,V16037-01,293305,
AKUSTISCHEAMPELOGD.293306,POINT (16.361596937167594 48.165942942887995),10,Raxstr.-Fernkorng.,Verkehrslichtsignalanlage,V10095-01,293306,
AKUSTISCHEAMPELOGD.293307,POINT (16.25193239297441 48.203982215752326),14,Linzer Str.-Wolfersbergstr.,Verkehrslichtsignalanlage,V14043-01,293307,
AKUSTISCHEAMPELOGD.293308,POINT (16.38235201376536 48.22230161734392),2,Taborstr.-Heinestr.,Verkehrslichtsignalanlage,V02028-01,293308,
AKUSTISCHEAMPELOGD.293309,POINT (16.408063200115734 48.1818244465112),11,Simmeringer Hptstr.-Molitorg.,Verkehrslichtsignalanlage,V11003-01,293309,
AKUSTISCHEAMPELOGD.293310,POINT (16.38270374645277 48.18617001934356),3,Arsenalstr.-Schweizer Garten-Str.,Verkehrslichtsignalanlage,V03004-01,293310,
AKUSTISCHEAMPELOGD.293312,POINT (16.32912392378753 48.20731847444021),16,Koppstr.-Haberlg.,Verkehrslichtsignalanlage,V16004-01,293312,
AKUSTISCHEAMPELOGD.293315,POINT (16.36541056605902 48.240793747335246),20,Brigittenauer Lände-Dietmayerg.,geregelter Fußgängerübergang,V20047-01,293315,
AKUSTISCHEAMPELOGD.293316,POINT (16.42528342394078 48.236699707245165),22,Wagramer Str.-Arbeiterstrandbadstr.,Verkehrslichtsignalanlage,V22010-01,293316,
AKUSTISCHEAMPELOGD.293317,POINT (16.375374203123037 48.18121189368232),10,Favoritenstr.-Landgutg.,geregelter Fußgängerübergang,V10045-01,293317,
AKUSTISCHEAMPELOGD.293318,POINT (16.47734054740617 48.25149302873818),22,Breitenleer Str.-Süßenbrunner,Verkehrslichtsignalanlage,V22063-01,293318,
AKUSTISCHEAMPELOGD.293320,POINT (16.37371996213855 48.18128664088508),10,Laxenburger Str.-Landgutg.,Verkehrslichtsignalanlage,V10042-01,293320,
AKUSTISCHEAMPELOGD.293321,POINT (16.361770739836604 48.225755680398066),9,Julius Tandler-Pl.-Porzellang.,Verkehrslichtsignalanlage,V09019-01,293321,
AKUSTISCHEAMPELOGD.293322,POINT (16.36820842740784 48.19954025148985),4,Wiedner Hauptstr.-Treitlstr._Karlspl.,geregelter Fußgängerübergang,V04006-01,293322,
AKUSTISCHEAMPELOGD.293323,POINT (16.416447556984217 48.17421958299289),11,Simmeringer Hptstr.-Grillg._Krauseg.,Verkehrslichtsignalanlage,V11006-01,293323,
AKUSTISCHEAMPELOGD.293324,POINT (16.389823973045836 48.17377257698713),10,Absbergg.-Quellenstr.,Verkehrslichtsignalanlage,V10011-01,293324,
AKUSTISCHEAMPELOGD.293326,POINT (16.31522147669008 48.19033414164507),14,Penzinger Str.-Schloßallee_Mariah.St.,Verkehrslichtsignalanlage,V14032-01,293326,
AKUSTISCHEAMPELOGD.293327,POINT (16.377256459006087 48.2162061614382),2,Hollandstr.-Kleine Sperlg.,Verkehrslichtsignalanlage,V02015-01,293327,
AKUSTISCHEAMPELOGD.293328,POINT (16.3300521793698 48.18165573333611),12,Meidlinger Hptstr.-Niederhofstr._Arndtstr.,Verkehrslichtsignalanlage,V12048-01,293328,
AKUSTISCHEAMPELOGD.293329,POINT (16.397192963491964 48.25702739859266),21,Floridsdorfer Hauptstr.-Am Spitz,Verkehrslichtsignalanlage,V21078-01,293329,
AKUSTISCHEAMPELOGD.292242,POINT (16.35168277197158 48.19637062708781),6,Gumpendorfer Str.-Amerlingstr.,Verkehrslichtsignalanlage,V06014-01,292242,
AKUSTISCHEAMPELOGD.292243,POINT (16.301316681039808 48.15304239404494),23,Breitenfurter Str.-Walter Jurmanng.,Verkehrslichtsignalanlage,V23068-01,292243,
AKUSTISCHEAMPELOGD.292244,POINT (16.41396724475442 48.218970026854564),2,Handelskai-Machstr.,Verkehrslichtsignalanlage,V02020-01,292244,
AKUSTISCHEAMPELOGD.292247,POINT (16.283948790821036 48.17613859142515),13,Lainzer Str.-Fasangarteng.,Verkehrslichtsignalanlage,V13025-01,292247,
AKUSTISCHEAMPELOGD.292248,POINT (16.378647375795904 48.17317974071415),10,Favoritenstr.-Davidg. _Reumannpl.,Verkehrslichtsignalanlage,V10032-01,292248,
AKUSTISCHEAMPELOGD.292249,POINT (16.386593510648943 48.20740815785069),3,Marxerg.-Invalidenstr.,Verkehrslichtsignalanlage,V03033-01,292249,
AKUSTISCHEAMPELOGD.292251,POINT (16.365615778946797 48.176164551964305),10,Neilreichg.-Quellenstr.,Verkehrslichtsignalanlage,V10028-01,292251,
AKUSTISCHEAMPELOGD.292253,POINT (16.344841119877586 48.20570065722363),7,Neustiftg.-Zieglerg.,Verkehrslichtsignalanlage,V07005-01,292253,
AKUSTISCHEAMPELOGD.292254,POINT (16.38220563651062 48.16459032504108),10,Favoritenstr.-Maria-Rekker-G.,Verkehrslichtsignalanlage,V10071-01,292254,
AKUSTISCHEAMPELOGD.292257,POINT (16.466291708509473 48.15414984947088),11,Etrichstr.-Sängerg.,Verkehrslichtsignalanlage,V11035-01,292257,
AKUSTISCHEAMPELOGD.292259,POINT (16.390436725697565 48.16502794200372),10,Laaer-Berg-Strasse-Urselbrunneng.,Verkehrslichtsignalanlage,V10091-01,292259,
AKUSTISCHEAMPELOGD.292260,POINT (16.32755003327481 48.19937060279411),15,Hütteldorfer Str.-Schweglerstr.,Verkehrslichtsignalanlage,V15018-01,292260,
AKUSTISCHEAMPELOGD.292261,POINT (16.323632783574666 48.18385014916089),12,Schönbrunner Schloßstr.-Rotenmühlg.,Verkehrslichtsignalanlage,V12078-01,292261,
AKUSTISCHEAMPELOGD.292262,POINT (16.271772541448122 48.139101785616674),23,Breitenfurter Str.-Hoferstiege,geregelter Fußgängerübergang,V23055-01,292262,
AKUSTISCHEAMPELOGD.292264,POINT (16.361021421089784 48.270316670299316),19,Heiligenst¿dter Str.-ON295,geregelter Fußgängerübergang,V19041-01,292264,
AKUSTISCHEAMPELOGD.292265,POINT (16.332346623687116 48.21807900498214),17,Hernalser Hptstr.-Elterleinpl._Jörgerstr,Verkehrslichtsignalanlage,V17009-01,292265,
AKUSTISCHEAMPELOGD.292266,POINT (16.366154210028935 48.216544593601505),9,M.Theresien Str.-Börseg._Schlickg.,Verkehrslichtsignalanlage,V09006-01,292266,
AKUSTISCHEAMPELOGD.292268,POINT (16.40588627823814 48.27153458143597),21,Brünner Str.-Shuttleworthstr.,Verkehrslichtsignalanlage,V21009-01,292268,
AKUSTISCHEAMPELOGD.292271,POINT (16.3590604325272 48.19728724226518),6,Linke Wienzeile-Kettenbrückeng.,Verkehrslichtsignalanlage,V06020-01,292271,
AKUSTISCHEAMPELOGD.292272,POINT (16.37029873725563 48.19392268861725),4,Favoritenstr.-Tilgnerstr.,geregelter Fußgängerübergang,V04042-01,292272,
AKUSTISCHEAMPELOGD.292273,POINT (16.40418015891486 48.27558484492895),21,Jedlersd. Str.-Pensionistenheim,geregelter Fußgängerübergang,V21025-01,292273,
AKUSTISCHEAMPELOGD.292274,POINT (16.350994736945832 48.21497374140066),9,Alser Str.-Lange G._Spitalg.,Verkehrslichtsignalanlage,V08006-01,292274,
AKUSTISCHEAMPELOGD.292278,POINT (16.4531802534595 48.262656281775975),22,Wagramer Str.-Maculang._Aderklaer St,Verkehrslichtsignalanlage,V22047-01,292278,
AKUSTISCHEAMPELOGD.292279,POINT (16.361968611284603 48.19745075204977),4,Rechte Wienzeile-Preßg.,Verkehrslichtsignalanlage,V04041-01,292279,
AKUSTISCHEAMPELOGD.292280,POINT (16.35317675772968 48.18038832889787),5,Margaretengürtel-Einsiedlerg.,Verkehrslichtsignalanlage,V05007-01,292280,
AKUSTISCHEAMPELOGD.292281,POINT (16.347403050975966 48.19739914333586),6,Mariahilfer Str.-Otto Bauer G.,Rot/Gelb Anlage,V06024-01,292281,
AKUSTISCHEAMPELOGD.292282,POINT (16.37693944061656 48.239253030982944),20,Höchstädt Platz-Dresdner Str.,Verkehrslichtsignalanlage,V20008-01,292282,
AKUSTISCHEAMPELOGD.292327,POINT (16.38124874410161 48.188325652800856),3,Wiedner Gürtel-Prinz-Eugen-Str.,Verkehrslichtsignalanlage,V04016-01,292327,
AKUSTISCHEAMPELOGD.292328,POINT (16.431437509719952 48.24362945886687),22,Siebeckstr.-Strasse der Menschenrechte,Verkehrslichtsignalanlage,V22073-01,292328,
AKUSTISCHEAMPELOGD.292329,POINT (16.418288513970314 48.27219134085886),21,Siemensstr.-Ruthnerg.,Verkehrslichtsignalanlage,V21018-01,292329,
AKUSTISCHEAMPELOGD.292330,POINT (16.380062726585944 48.17518749646212),10,Quellenstr.-Herndlg.,Verkehrslichtsignalanlage,V10053-01,292330,
AKUSTISCHEAMPELOGD.292331,POINT (16.363518795373523 48.16567665954302),10,Neilreichg.-Raxstr.,Verkehrslichtsignalanlage,V10027-01,292331,
AKUSTISCHEAMPELOGD.292332,POINT (16.31741514412977 48.19436403309177),15,Johnstr.-Goldschlagstr.,Verkehrslichtsignalanlage,V15063-01,292332,
AKUSTISCHEAMPELOGD.292333,POINT (16.427594207918315 48.20913794986098),2,Handelskai-Marathonweg,Verkehrslichtsignalanlage,V02079-01,292333,
AKUSTISCHEAMPELOGD.292334,POINT (16.410892215128566 48.28025077278807),21,Brünner Str.-Carabellig.,Verkehrslichtsignalanlage,V21035-01,292334,
AKUSTISCHEAMPELOGD.292335,POINT (16.372104951768428 48.200130826046696),1,Lothringer Straße-Musikvereinsplatz,Verkehrslichtsignalanlage,V01004-01,292335,
AKUSTISCHEAMPELOGD.292336,POINT (16.421063319064793 48.21061094993138),2,Meiereistrasse-Vorgartenstrasse,Verkehrslichtsignalanlage,V02078-01,292336,
AKUSTISCHEAMPELOGD.292338,POINT (16.42070694858639 48.17919322403963),11,Kopalg.-Simoningplatz,Verkehrslichtsignalanlage,V11043-01,292338,
AKUSTISCHEAMPELOGD.292340,POINT (16.31713683052796 48.16383355869886),12,Altmannsdorfer Str.-Hetzendorfer Str.,Verkehrslichtsignalanlage,V12041-01,292340,
AKUSTISCHEAMPELOGD.292341,POINT (16.37022117259075 48.23392613315618),20,Jägerstr.-Pappenheimg.,Verkehrslichtsignalanlage,V20034-01,292341,
AKUSTISCHEAMPELOGD.292342,POINT (16.363406372364906 48.19881568307035),6,Linke Wienzeile-verl. Schleifmühlg.,Verkehrslichtsignalanlage,V06030-01,292342,
AKUSTISCHEAMPELOGD.292343,POINT (16.350567702100413 48.20946149543732),8,Josefstädter Str.-Piaristeng.,Verkehrslichtsignalanlage,V08008-01,292343,
AKUSTISCHEAMPELOGD.292344,POINT (16.408260114027566 48.198435483354615),3,Erdberger Lände-Lechnerstr.,Verkehrslichtsignalanlage,V03056-01,292344,
AKUSTISCHEAMPELOGD.292345,POINT (16.287250902946877 48.170163291934124),13,Feldkellerg.-Hofwieseng.,Verkehrslichtsignalanlage,V13016-01,292345,
AKUSTISCHEAMPELOGD.292346,POINT (16.34478940796168 48.22615850022152),18,Währinger Str.-Kutschkerg._Gertrudpl.,geregelter Fußgängerübergang,V18020-01,292346,
AKUSTISCHEAMPELOGD.292347,POINT (16.334124823326352 48.201151565613344),15,Hütteldorfer Str.-Zinckg.,Verkehrslichtsignalanlage,V15062-01,292347,
AKUSTISCHEAMPELOGD.292348,POINT (16.29952658194037 48.19387805082736),14,Linzer Str.-Ameisg.,Verkehrslichtsignalanlage,V14007-01,292348,
AKUSTISCHEAMPELOGD.292351,POINT (16.384528995366207 48.20444748696401),3,Invalidenstr.-Ungarg.,Verkehrslichtsignalanlage,V03061-01,292351,
AKUSTISCHEAMPELOGD.292352,POINT (16.441267663840367 48.24765903656798),22,Wagramer Str.-Meißauerg.,Verkehrslichtsignalanlage,V22015-01,292352,
AKUSTISCHEAMPELOGD.292353,POINT (16.328373129992297 48.152400426776595),23,A.Baumgartner-Str.-Gutheil Schoder-G_Schwarzenhaidestr.,Verkehrslichtsignalanlage,V23038-01,292353,
AKUSTISCHEAMPELOGD.292354,POINT (16.343402598967735 48.18733485584171),5,Margaretengürtel-Schönbrunner Str.,Verkehrslichtsignalanlage,V05028-01,292354,
AKUSTISCHEAMPELOGD.292357,POINT (16.346161973282246 48.18413700638359),5,Margaretengürtel-Arbeiterg.,Verkehrslichtsignalanlage,V05026-01,292357,
AKUSTISCHEAMPELOGD.292358,POINT (16.409872283033085 48.21790253485129),2,Ausstellungsstr.-Vorgartenstr.,Verkehrslichtsignalanlage,V02064-01,292358,
AKUSTISCHEAMPELOGD.292360,POINT (16.367521618444936 48.16315976368415),10,Laxenburger Str.-Sahulkastr.,Verkehrslichtsignalanlage,V10013-01,292360,
AKUSTISCHEAMPELOGD.292362,POINT (16.307267233473286 48.22036475389512),16,Sandleiteng.-Lobmeyrg._Nietzschepl.,Verkehrslichtsignalanlage,V16026-01,292362,
AKUSTISCHEAMPELOGD.292363,POINT (16.316982310183956 48.16436188881),12,Altmannsdorfer Str.-Zöppelg.,Verkehrslichtsignalanlage,V12074-01,292363,
AKUSTISCHEAMPELOGD.292364,POINT (16.38668315243276 48.19582348856438),3,Ungarg.-Linke Bahng.,Verkehrslichtsignalanlage,V03067-01,292364,
AKUSTISCHEAMPELOGD.292365,POINT (16.385030922370188 48.211209097393564),3,Vordere Zollamtsstr.-Radetzkystr._Uraniastr,Verkehrslichtsignalanlage,V03036-01,292365,
AKUSTISCHEAMPELOGD.292366,POINT (16.273943584158882 48.19237310051354),13,Hietzinger Kai-St.Veit Br._Testarellog.,Verkehrslichtsignalanlage,V13008-01,292366,
AKUSTISCHEAMPELOGD.292367,POINT (16.353848569421487 48.23224701780512),19,Döblinger Gürtel-Döblinger Hptstr.,Verkehrslichtsignalanlage,V19033-01,292367,
AKUSTISCHEAMPELOGD.292368,POINT (16.34920196456849 48.1802211431192),5,Gaudenzd. Gürtel-Eichenstr.,Verkehrslichtsignalanlage,V12005-01,292368,
AKUSTISCHEAMPELOGD.292369,POINT (16.360940368778753 48.21917805799925),9,Liechtensteinstr.-Thurng.,Verkehrslichtsignalanlage,V09034-01,292369,
AKUSTISCHEAMPELOGD.292370,POINT (16.326247322097082 48.1843045452591),15,Linke Wienzeile-Pillerg.,geregelter Fußgängerübergang,V15052-01,292370,
AKUSTISCHEAMPELOGD.292371,POINT (16.30936607558509 48.207730339769405),16,Gablenzg.-Spetterbr._Hutteng.,Verkehrslichtsignalanlage,V16020-01,292371,
AKUSTISCHEAMPELOGD.292374,POINT (16.350116887357427 48.19829475143382),6,Mariahilfer Str.-Neubaug._Amerlingstr.,Verkehrslichtsignalanlage,V06010-01,292374,
AKUSTISCHEAMPELOGD.292376,POINT (16.374401634807327 48.16397265107138),10,Grenzackerstr.-Daumeg.,Verkehrslichtsignalanlage,V10075-01,292376,
AKUSTISCHEAMPELOGD.292377,POINT (16.35646149566385 48.22696758508148),9,Liechtensteinstr.-Lichtentalerg.,Verkehrslichtsignalanlage,V09023-01,292377,
AKUSTISCHEAMPELOGD.292378,POINT (16.387897415531857 48.277780812274905),21,Prager Str.-Autokaderstr.,Verkehrslichtsignalanlage,V21014-01,292378,
AKUSTISCHEAMPELOGD.292379,POINT (16.302774519810807 48.202372611038186),14,Maroltingerg._Leyserstr-Breitenseer Str.,Verkehrslichtsignalanlage,V14011-01,292379,
AKUSTISCHEAMPELOGD.292380,POINT (16.354214782137817 48.23171186642346),9,Währinger Gürtel-Nußdorfer Str.,Verkehrslichtsignalanlage,V09003-01,292380,
AKUSTISCHEAMPELOGD.292382,POINT (16.397650602457688 48.26804526668575),21,Johannes Fehring Promenade-Schutzweg Höhe SCN Strasse,geregelter Fußgängerübergang,V21098-01,292382,
AKUSTISCHEAMPELOGD.292383,POINT (16.337971348117506 48.19060177921577),6,Gumpendorfer Gürtel-Gumpendorfer Str.,Verkehrslichtsignalanlage,V06027-01,292383,
AKUSTISCHEAMPELOGD.292385,POINT (16.331747770369184 48.20565198039961),16,Kirchstetterng.-Herbststr.,Verkehrslichtsignalanlage,V16035-01,292385,
AKUSTISCHEAMPELOGD.292386,POINT (16.342283443079918 48.22721985816129),18,Martinstr.-Gentzg.,Verkehrslichtsignalanlage,V18014-01,292386,
AKUSTISCHEAMPELOGD.292387,POINT (16.32821769435925 48.198288045096746),15,Märzstr.-Schweglerstr.,Verkehrslichtsignalanlage,V15019-01,292387,
AKUSTISCHEAMPELOGD.292389,POINT (16.348258910849488 48.18172777985086),5,Margaretengürtel-Siebenbrunneng,Verkehrslichtsignalanlage,V05038-01,292389,
AKUSTISCHEAMPELOGD.292390,POINT (16.434379493971786 48.250827302156985),22,Donaufelder Str.-Attemsg.,Verkehrslichtsignalanlage,V22046-01,292390,
AKUSTISCHEAMPELOGD.292392,POINT (16.34112316091779 48.19870756372519),7,Kaiserstr.-Stollg.,Verkehrslichtsignalanlage,V07004-01,292392,
AKUSTISCHEAMPELOGD.292393,POINT (16.334435135695028 48.21455030009877),16,Ottakringer Str.-Bergsteigg._Weyprechtg,Verkehrslichtsignalanlage,V16005-01,292393,
AKUSTISCHEAMPELOGD.292395,POINT (16.362486351562342 48.21394753469607),1,Schottenring-Schotteng.,Verkehrslichtsignalanlage,V01011-01,292395,
AKUSTISCHEAMPELOGD.292396,POINT (16.302430852503534 48.168851858683155),12,Hetzendorfer Str.-Rosenhügelstr.,Verkehrslichtsignalanlage,V12044-01,292396,
AKUSTISCHEAMPELOGD.292397,POINT (16.3539248794702 48.18571969854671),5,Reinprechtsd. Str.-Siebenbrunnenpl._G.,Verkehrslichtsignalanlage,V05022-01,292397,
AKUSTISCHEAMPELOGD.292398,POINT (16.370236570825497 48.20361453641025),1,Kärntner Str.-Walfischg._Philharm.St,Verkehrslichtsignalanlage,V01031-01,292398,
AKUSTISCHEAMPELOGD.292399,POINT (16.383166342034666 48.20449868438227),3,Am Heumarkt-Gr. Ungarbrücke,Verkehrslichtsignalanlage,V03007-01,292399,
AKUSTISCHEAMPELOGD.292400,POINT (16.403706807125964 48.26796678180926),21,Brünner Str.-Hauptzufahrt KH Nord,geregelter Fußgängerübergang,V21047-01,292400,
AKUSTISCHEAMPELOGD.292403,POINT (16.425077734647235 48.25501497100181),21,Angyalföldstr.-Verbindung vor Satzingerweg,Verkehrslichtsignalanlage,V21083-01,292403,
AKUSTISCHEAMPELOGD.292404,POINT (16.380467263406914 48.177784147849856),10,Gudrunstr.-Sonnwendg._Herndlg.,Verkehrslichtsignalanlage,V10046-01,292404,
AKUSTISCHEAMPELOGD.292405,POINT (16.342254566773455 48.2266067039694),18,Währinger Str.-Martinstr.,Verkehrslichtsignalanlage,V18008-01,292405,
AKUSTISCHEAMPELOGD.292406,POINT (16.301640488612694 48.189673822349626),14,Penzinger Str.-Einwangg.,Verkehrslichtsignalanlage,V14016-01,292406,
AKUSTISCHEAMPELOGD.292407,POINT (16.387119683423634 48.158976975128695),10,Ludwig-von-Höhnel-Gasse-Fischhofg.,Verkehrslichtsignalanlage,V10031-01,292407,
AKUSTISCHEAMPELOGD.292408,POINT (16.403785724093304 48.1748100465652),11,Geiselbergstr.-Kremenetzkyg.,Verkehrslichtsignalanlage,V11026-01,292408,
AKUSTISCHEAMPELOGD.292493,POINT (16.408379190529217 48.25497164625543),21,Donaufelder Str.-Schloßhofer Str._Hoßpl.,Verkehrslichtsignalanlage,V21024-01,292493,
AKUSTISCHEAMPELOGD.292494,POINT (16.285953760837767 48.159432120773765),13,Rosenhügelstr.-ON 192,geregelter Fußgängerübergang,V13037-01,292494,
AKUSTISCHEAMPELOGD.292495,POINT (16.369866820585816 48.19471979726197),4,Favoritenstr.-Taubstummeng.,geregelter Fußgängerübergang,V04039-01,292495,
AKUSTISCHEAMPELOGD.292497,POINT (16.347145190008884 48.149705585921744),23,Draschestr.-Pfarrg.,Verkehrslichtsignalanlage,V23015-01,292497,
AKUSTISCHEAMPELOGD.292502,POINT (16.51957209569087 48.21450910038555),22,Eßlinger Hauptstr.-Telephonweg_Kirschenal,Verkehrslichtsignalanlage,V22029-01,292502,
AKUSTISCHEAMPELOGD.292504,POINT (16.35008093674814 48.22987333606837),18,Währinger Gürtel-Anastasius Grün-G.,Verkehrslichtsignalanlage,V18004-01,292504,
AKUSTISCHEAMPELOGD.292505,POINT (16.334969403568266 48.19402668551397),15,Mariahilfer Str.-Staglg.,Verkehrslichtsignalanlage,V15060-01,292505,
AKUSTISCHEAMPELOGD.292508,POINT (16.415090388352585 48.16538975084244),11,Schemmerlstr.-Mitterfeldg.,Verkehrslichtsignalanlage,V11042-01,292508,
AKUSTISCHEAMPELOGD.292509,POINT (16.327337062061833 48.20501266906958),16,Gablenzg.-Camillo-Sitte-G.,Verkehrslichtsignalanlage,V15024-01,292509,
AKUSTISCHEAMPELOGD.292512,POINT (16.336722719566357 48.16008222591506),10,Computerstr.-Gutheil Schoder-G.,Verkehrslichtsignalanlage,V10073-01,292512,
AKUSTISCHEAMPELOGD.292513,POINT (16.36288934535661 48.18576831481395),5,Wiedner Hauptstr.-Laurenzg.,geregelter Fußgängerübergang,V05036-01,292513,
AKUSTISCHEAMPELOGD.292516,POINT (16.343222365907263 48.20183709830495),7,Westbahnstr.-Schottenfeldg.,Verkehrslichtsignalanlage,V07013-01,292516,
