FID,OBJECTID,SHAPE,TYP,TYP_TEXT,BESCHREIBUNG,SE_ANNO_CAD_DATA
MITTELALTMAUEROGD.fid--47a0a51d_1807f7421bb_-7d17,1,"LINESTRING (16.36889182190277 48.212742794916544, 16.368993775307224 48.2128166027955, 16.36928784827597 48.212962278556, 16.369563799757902 48.21302168514657, 16.36982190704689 48.213015661690996, 16.370214377291 48.21298504643257, 16.370434966679923 48.21296418312411, 16.371299250984112 48.21283675977258, 16.371583976392543 48.212711750304805, 16.371984251309584 48.21236660425073, 16.372162186178066 48.21226542173706, 16.372509258371142 48.212211774943206, 16.3728207846021 48.212235470195964, 16.373212425914975 48.21227698582572, 16.373559550453173 48.212294718578754, 16.373968953671604 48.21228268744812, 16.37418250246156 48.21220528432477, 16.374413816710582 48.21208028639875, 16.374528499448896 48.21198207193512, 16.374714912065514 48.21182777230542, 16.374885237982532 48.21169346611162, 16.374920689881407 48.211497148466165, 16.375007635884106 48.21129522951496, 16.375022268678087 48.211275965595654, 16.374062688461052 48.210571523839064, 16.373470672345135 48.21013423091822, 16.37335244426036 48.210043926993286, 16.373143587635564 48.20988712932829, 16.37295071421518 48.20974385376007, 16.372801156151283 48.209633431570616, 16.37237467115423 48.20931528782754, 16.37142107756797 48.20861338766313, 16.371172174994975 48.20843157502946, 16.371143378650103 48.208414268257314, 16.371102597363585 48.20839344337926, 16.37105651264773 48.208375029381386, 16.371028524955328 48.20836559679789, 16.37099709571173 48.20835630194826, 16.37097147792802 48.20834967091942, 16.370949987251848 48.20834593085451, 16.370903952694235 48.208339854578455, 16.370862760179694 48.208337415478056, 16.370834786108723 48.208340095811025, 16.370803616070845 48.2083459822846, 16.37076765202853 48.208355610474186, 16.370687740569668 48.208387691752144, 16.37031188271258 48.20860993753203, 16.369917427612908 48.208846908541304, 16.369615811424715 48.20902810492114, 16.369386973561557 48.2091655778295, 16.369271761322487 48.20923478963189, 16.369072385570636 48.20935456285321, 16.3688475917908 48.209489602654436, 16.368499829612926 48.2096998671938, 16.367537139502474 48.2102766335952, 16.36714954806293 48.210514060810254, 16.36688217739136 48.21067784334421, 16.366809882764695 48.21072212726754, 16.3667505392958 48.21076088406338, 16.36670622797817 48.21079091071422, 16.36667423451871 48.21081372241634, 16.366636346601712 48.21084377071573, 16.366612123632752 48.210873746132734, 16.366595383118504 48.210903852661616, 16.36658587971102 48.21093328547792, 16.366585895746823 48.21096032987191, 16.366591862057273 48.21098578089028, 16.366600205832754 48.211008846277444, 16.366613310528404 48.21103270540199, 16.36663236842376 48.211062130645466, 16.36666094959754 48.211095530157095, 16.366701771522465 48.211132057844864, 16.36686157184981 48.211250589887825, 16.36739301753497 48.211642298970986, 16.36746114293306 48.21169251112747, 16.367641256960923 48.211825263803, 16.3680395680366 48.21211883544848, 16.368266534478156 48.212286116156235, 16.368689648124505 48.21259795999466, 16.36883513449361 48.21270443611653, 16.36889182190277 48.212742794916544)",2,Legionslagermauer,"Die römische Legionslagermauer - in ihrer spätantiken Ausformung - stellte vermutlich auch die erste mittelalterliche Stadtbefestigung dar. Sowohl vereinzelte archäologische Beobachtungen als auch historische Quellen weisen auf diese Nachnutzung hin. Unbekannt ist allerdings, wann man im beginnenden mittelalterlichen Wien über die Ressourcen für eine Instandsetzung verfügte. Mit dem Bau der babenbergischen Mauer, verloren die römisch/mittelalterliche Mauer und der dazu ausgehobene mittelalterliche Graben im 13. Jh. schließlich ihre Bedeutung.",
MITTELALTMAUEROGD.fid--47a0a51d_1807f7421bb_-7d16,2,"LINESTRING (16.36543372986683 48.21436225096037, 16.365391311031043 48.21431504201335, 16.36510496730788 48.213958603874154, 16.365009539761463 48.21387363214628, 16.364868179651356 48.21377214500358, 16.364299225501213 48.21339452595382, 16.363553643364554 48.21300041950142, 16.36348297531045 48.21296738268191, 16.363511211019077 48.212922516917665, 16.36341934899526 48.21289184582224, 16.363020094199978 48.21274083593039, 16.362550178506435 48.212563870305964, 16.36224630329805 48.212408113425525, 16.362023679439282 48.212254699085904, 16.361896428317102 48.21209417992228, 16.361769180514482 48.211936021331304, 16.36161000364222 48.211500688909204, 16.361574597575643 48.21133542664057, 16.361613196135057 48.21081363802548, 16.36161659455225 48.210544482904915, 16.36169065326657 48.210302700026844, 16.361898808245055 48.20979503951831, 16.362682510230158 48.20888115472814, 16.363053197289652 48.20850189191838, 16.363551023597278 48.2080933211076, 16.363858187270342 48.20783825906587, 16.364331299233744 48.207472189152334, 16.364829125420325 48.20710186180467, 16.364938561078503 48.206993227792815, 16.365090390006735 48.20690111074779, 16.36569770568241 48.206537361989525, 16.365814235741826 48.20648775142683, 16.36594488534498 48.20642160934014, 16.365976667546764 48.20641215731077, 16.36601905016994 48.20640742395938, 16.36606849611604 48.20640268965262, 16.366612133682484 48.20589115346357, 16.367201654546445 48.20534324355975, 16.367639388416855 48.204958281856086, 16.368204195317247 48.204462315667, 16.368560782967887 48.2042402808034, 16.36894563295525 48.204037126135, 16.369436431695537 48.2038221332193, 16.370177976943204 48.20358864968539, 16.370230949695824 48.20358155092002, 16.37025217100561 48.20362640374068, 16.37046758177144 48.20357439742546, 16.370725392573537 48.203548349497, 16.371184488990554 48.20347737977853, 16.37290454878742 48.20352406231397, 16.373031719786887 48.20355471455292, 16.373954063631505 48.20426271596266, 16.37444211461797 48.205125735847425, 16.374551692134283 48.20524138812478, 16.374703641803997 48.205338138516964, 16.37536778167173 48.20549846171969, 16.37648781471681 48.20598585659346, 16.376551416387905 48.206016527222886, 16.37661853674977 48.20603066973115, 16.376890638254327 48.20619820457184, 16.377077888075227 48.20626188559779, 16.377706965447878 48.206717332936954, 16.37800736447702 48.20692499162869, 16.378205265068683 48.20705005196577, 16.378314825487355 48.20712792549575, 16.37845268275712 48.20725442384992, 16.378887517072727 48.20771229671097, 16.37906073727123 48.20788458543801, 16.37953440398734 48.20830277669961, 16.37970056673586 48.20847742782935, 16.379767876365875 48.208711141472364, 16.379757467384916 48.20893071846518, 16.379634176175337 48.20932977361009, 16.37968759880338 48.20984775644099, 16.37977265002863 48.21017118143496, 16.37978342171525 48.21037658421732, 16.37976943971161 48.210551303441214, 16.379801626356876 48.211015935620054, 16.37980165646889 48.21105135089193, 16.379791079240416 48.21107496479806, 16.37881627020693 48.21123587862889, 16.37858668947335 48.211269017299394, 16.377943909432993 48.21141563452712, 16.377604874338168 48.21151255849511, 16.37649240047794 48.21182224545834, 16.376340547893033 48.21187660149364, 16.375860265285375 48.21204675999485, 16.37515748920968 48.212291600824145, 16.375044488878444 48.21234358033041, 16.374691353287037 48.212494803283064, 16.374239355674995 48.212714526886145, 16.37381205877805 48.21290118695705, 16.373607201368745 48.212941390622824, 16.37347648497007 48.212924906329896, 16.373123276140383 48.21298640638798, 16.37272064669988 48.21309750157816, 16.372664134366318 48.21310932493908, 16.372628768801196 48.213052672637986, 16.372310911651553 48.213154295677604, 16.370986439403183 48.2134989380145, 16.370665032966617 48.21358403074673, 16.370541408427833 48.21360767769146, 16.370431911960953 48.213626598853054, 16.369842015928736 48.21369524224579, 16.369824384933302 48.21374482788757, 16.369128409261567 48.21365767328302, 16.369114298972562 48.21368837026316, 16.368580847335593 48.21363894068899, 16.368305303399634 48.21363429669237, 16.368047427537036 48.21363909000417, 16.367902607443156 48.213665101610495, 16.367814298393675 48.21367456975132, 16.36697717346373 48.2138353451001, 16.366694605072084 48.21390152875921, 16.366178942828157 48.21406693471925, 16.36550789819061 48.21433153910579, 16.36544079698519 48.21436461077603)",1,hochmittelalterliche Ringmauer (Babenberger Mauer),"Im 13. Jh. entstand die erste voll und ganz mittelalterliche Befestigung Wiens. Verschiedene bildliche und schriftliche Quellen, so wie mittlerweile mehrere archäologische Befunde aus dem Bereich von Mauer und Graben vermitteln einen Eindruck des Aufbaus und Verlaufs dieser Befestigung.",
MITTELALTMAUEROGD.fid--47a0a51d_1807f7421bb_-7d15,3,"LINESTRING (16.36924036946589 48.213003349851064, 16.369604405451824 48.21309667222645, 16.370611883694075 48.21301881163171, 16.371252741818534 48.21293752944792, 16.3716640958651 48.212796378684054, 16.37213853636853 48.21235694228914, 16.37252883615779 48.21229159520959, 16.373512686926546 48.21239175890845, 16.373926773990302 48.21239691243624, 16.374343379102438 48.212239885417716, 16.3749997157163 48.211721402659386, 16.375186662892773 48.21131237016181)",3,Donauabbruchkante,"Vermutlich im 3. Jh. kam es zu einer Hangrutschung, die die Gestalt des Legionslagers drastisch veränderte. Diese zurückversetzte und reduzierte Kante bestimmte Jahrhunderte später natürlich auch die mittelalterliche Siedlungs- und dann Stadtentwicklung in diesem Bereich.",
