FID,OBJECTID,SHAPE,ANL_NAME,BEZIRK,FLAECHE,OEFF_ZEITEN,SPIELEN_IM_PARK,WASSER_IM_PARK,HUNDE_IM_PARK,TELEFON,WEBLINK1,SE_ANNO_CAD_DATA
PARKINFOOGD.fid--47a0a51d_1807f4594fb_5096,1254797,POINT (16.361595151671906 48.206191956367384),Heldenplatz (Bundesgärten),1,904 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_5097,1254798,POINT (16.362989542042037 48.2236753186262),Jüdischer Friedhof Seegasse,9,5.843 m²,Mo-Fr 7:00-15:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_5098,1254799,POINT (16.347328028184204 48.216964223437046),Gerda-Matejka-Felden-Park (privat),9,0 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_5099,1254800,POINT (16.31884980154583 48.213067305819436),GA Wattgasse,16,1.328 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_509a,1254801,POINT (16.34486896691353 48.19942985202524),Marianne-Fritz-Park,7,359 m²,"Okt: 6:45-19:20, Nov-März: 6:45-18:20, Apr-Sep: 6:45-21:20",Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_509b,1254802,POINT (16.36274724979272 48.212004754535776),Rockgarten,1,119 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_509c,1254803,POINT (16.465878173898265 48.2330649174406),PA Am Krautgarten,22,1.954 m²,0:00-24:00,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_509d,1254804,POINT (16.345446158316083 48.18008972775991),Paula-von-Mirtow-Park,12,3.234 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_509e,1254805,POINT (16.412700065982058 48.27748122624862),PA Berzeliusgasse,21,7.212 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_509f,1254806,POINT (16.41506240706212 48.29141966302155),PA Lüssenpromenade,21,7.551 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50a0,1254807,POINT (16.41679586595578 48.29493042266183),Heisspark,21,5.283 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50a1,1254808,POINT (16.439931100652032 48.267859262902924),PA Großfeldstraße,21,3.368 m²,Ballspielplatz 9:00-20:30,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50a2,1254809,POINT (16.423359255818227 48.276677821881094),PA Ruthnergasse,21,21.719 m²,00:00-24:00,Nein,Ja,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50a3,1254810,POINT (16.45682404004489 48.21407912564192),PA Am Mühlwasser,22,19.931 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50a4,1254811,POINT (16.5220591644461 48.213179343410864),PA Colerusgasse,22,4.256 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50a5,1254812,POINT (16.498831322673457 48.22264568929049),Madame-d'Ora-Park,22,4.619 m²,0:00-24:00,Nein,Ja,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50a6,1254813,POINT (16.3037519575074 48.16995097547199),PA Fasangartengasse,12,6.227 m²,0:00-24:00,Nein,Nein,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50a7,1254814,POINT (16.374740625398378 48.21570469031204),GA Obere Donaustraße,2,1.984 m²,0:00-24:00,Nein,Nein,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50a8,1254815,POINT (16.334213275484736 48.22629899164396),GA Staudgasse,18,208 m²,00:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50a9,1254816,POINT (16.392045077801086 48.23118006680824),Freie Mitte,2,15.977 m²,,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50aa,1254817,POINT (16.439617782844863 48.26318575024245),Franz-Mittasch-Park,21,2.834 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50ab,1254818,POINT (16.313714524091026 48.200296983042975),H.-C.-Artmann-Park,14,2.353 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50ac,1254819,POINT (16.289661026555294 48.20408372972145),PA Gusterergasse,14,563 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50ad,1254820,POINT (16.28558915959479 48.194927625951),Gustav-Klimt-Park,14,6.459 m²,0:00-24:00,Ja,Ja,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50ae,1254821,POINT (16.28094502075605 48.19385629187721),PA Guldengasse,14,1.174 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50af,1254822,POINT (16.244883793373965 48.214104151322886),PA Genossenschaftsstraße,14,4.305 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50b0,1254823,POINT (16.24465546847577 48.207646957615495),Franz-Sauer-Park,14,2.015 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50b1,1254824,POINT (16.378004910641877 48.21422495711942),Manes-Sperber-Park,2,3.084 m²,Ballspielplatz: 6:30-20:30,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50b2,1254825,POINT (16.37352037952595 48.22186732024329),PA Krafftgasse,2,1.449 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50b3,1254826,POINT (16.382308340872203 48.215117546369804),PA Große Mohrengasse,2,258 m²,0:00-24:00,Nein,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50b4,1254827,POINT (16.411008637298778 48.217519518119076),Elisabeth-Ben David-Hindler-Park,2,5.990 m²,0:00-24:00,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50b5,1254828,POINT (16.379940488124376 48.20499324807945),Stadtpark,1,59.004 m²,0:00-24:00,Nein,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50b6,1254829,POINT (16.36525620311278 48.20068261306759),PA Secession,1,4.663 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50b7,1254830,POINT (16.365494655312492 48.20210762784311),Schillerpark,1,6.826 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50b8,1254831,POINT (16.371598428419727 48.21444879635845),Rudolfspark,1,4.255 m²,6:20-22:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50b9,1254832,POINT (16.3597425414586 48.21187870277592),Rathauspark,1,38.446 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50ba,1254833,POINT (16.36736245973495 48.21440919678658),Hermann-Gmeiner-Park,1,4.045 m²,Ballspielplatz: 6:15-21:45,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50bb,1254834,POINT (16.35842007625121 48.20693935089881),Grete-Rehor-Park,1,6.985 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50bc,1254835,POINT (16.35601667533614 48.21101260824966),PA Friedrich-Schmidt-Platz,1,4.016 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50bd,1254836,POINT (16.37304931101384 48.21530109194617),PA Franz-Josefs-Kai,1,2.346 m²,0:00-24:00,Nein,Ja,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50be,1254837,POINT (16.37704157723552 48.2019503658663),PA Beethovenplatz,1,4.002 m²,Ballspielplatz: 6:00-21:30,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50bf,1254838,POINT (16.3652155764296 48.19473338247774),Johannes-Diodato-Park,4,333 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50c0,1254839,POINT (16.36776310094837 48.19308397773378),Ernst-Jandl-Park,4,529 m²,"Okt-März: 7:30-20:00, Apr-Sep: 6:15-21:00",Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50c1,1254840,POINT (16.367842280839277 48.186401345973735),Alois-Drasche-Park,4,15.875 m²,"Ballspielplatz: Okt-März: 7:45-21:00, Apr-Sep: 6:45-22:00",Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50c2,1254841,POINT (16.391669160328775 48.19973132679034),PA Ziehrerplatz,3,1.980 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50c3,1254842,POINT (16.39684361992567 48.185837353948756),Ilija-Jovanovic-Park,3,1.763 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50c4,1254843,POINT (16.395087955028714 48.21014804042992),Hundertwasser-Promenade,3,26.036 m²,"Hundezone: Okt-März: 8:00-20:45, Apr-Sep: 8:00-21:00",Nein,Ja,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50c5,1254844,POINT (16.39863764094131 48.19124059185164),Waisenhauspark,3,5.287 m²,"Ballspielplatz: Okt-März: 7:30-19:30, Apr-Sep: 7:30-20:00",Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50c6,1254845,POINT (16.386357214189673 48.19552381029539),PA Ungargasse,3,898 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50c7,1254846,POINT (16.402004561362308 48.18277875548362),Friedhof St. Marx,3,57.365 m²,"Okt-März: 6:30-18:30, Apr-Sep: 6:30-20:00",Nein,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50c8,1254847,POINT (16.389694654641307 48.19961267345646),Haubenstock-Ramati-Park,3,2.064 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50c9,1254848,POINT (16.385924067892034 48.18648671429358),Schweizergarten,3,115.249 m²,0:00-24:00,Ja,Ja,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50ca,1254849,POINT (16.37639183642225 48.19832582871036),PA Schwarzenbergplatz,3,14.398 m²,0:00-24:00,Nein,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50cb,1254850,POINT (16.39320136349169 48.20135025304406),Rochuspark,3,3.592 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50cc,1254851,POINT (16.382402078036925 48.19984613043865),Modenapark,3,7.768 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50cd,1254852,POINT (16.40143899208017 48.19731588440681),Kardinal-Nagl-Park,3,7.773 m²,Ballspielplatz+Hundezone: 6:15-21:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50ce,1254853,POINT (16.38745539784315 48.206070923904825),Josef-Pfeifer-Park,3,630 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50cf,1254854,POINT (16.399173079513705 48.194251423044285),Joe-Zawinul-Park,3,1.617 m²,"Okt-März: 7:15-20:00, Apr-Sep: 7:15-20:15",Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50d0,1254855,POINT (16.392461673569912 48.20339034613359),Grete-Jost-Park,3,1.594 m²,"Okt-März: 6:15-19:15, Apr-Sep: 6:15-21:25",Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50d1,1254856,POINT (16.407942850811985 48.19925317603912),Treppelweg - Erdberger Lände,3,59.418 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50d2,1254857,POINT (16.39114744641501 48.20484775936315),Czapkapark,3,2.803 m²,"Okt-März: 6:00-19:00, Apr-Sep: 6:00-20:45",Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50d3,1254858,POINT (16.403995753360864 48.19621449094206),Bock-Park,3,4.685 m²,Hundezone: 6:00-20:00,Ja,Ja,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50d4,1254859,POINT (16.40559544789204 48.19206299308659),PA Baumgasse,3,21.108 m²,0:00-24:00,Ja,Nein,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50d5,1254860,POINT (16.391239229880398 48.198607240878005),Arenbergpark,3,30.224 m²,"Ballspielplatz: Okt-März: 6:45-20:15, Apr-Sep: 6:45-20:30",Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50d6,1254861,POINT (16.394958429417883 48.196617600309274),Alma-Mahler-Werfel-Park,3,1.085 m²,0:00-24:00,Nein,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50d7,1254862,POINT (16.372008073248956 48.21841883925123),Wilhelm-Kienzl-Park,2,6.945 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50d8,1256375,POINT (16.342271218752813 48.19365096967377),Minna-Lachs-Park,6,2.918 m²,"Okt-März: 6:30-20:00, Apr-Sep: 6:00-21:15",Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50d9,1256376,POINT (16.348395412078617 48.19501380280615),Loquaipark,6,5.011 m²,"Okt-März: 7:45-19:00, Apr-Sep: 7:45-20:00",Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50da,1256377,POINT (16.4207230787522 48.132067445703285),PA Klederinger Straße,10,8.973 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50db,1256378,POINT (16.364329736049594 48.152057409461484),PA Laxenburger Straße,10,35.782 m²,0:00-24:00,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50dc,1256379,POINT (16.368432557631184 48.17499407979949),Laubepark,10,7.550 m²,Ballspielplatz+Spielplatz: 6:00-21:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50dd,1256380,POINT (16.403224223170536 48.147330569464984),Kurpark Oberlaa,10,608.466 m²,"Nov.-Jan.6:00-18:00, Feb.6:00-19:00, Mar.&Okt.6:00-20:00, Apr.&Sept.6:00-21:00, Mai-Aug.6:00-22:00",Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50de,1256381,POINT (16.381667781385765 48.17271585655607),PA Kudlichgasse,10,923 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50df,1256382,POINT (16.3944518195093 48.17181432977049),PA Quellenstraße,10,5.817 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50e0,1256383,POINT (16.366249627796027 48.161490482218326),PA Kornauthgasse,10,3.102 m²,0:00-24:00,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50e1,1256384,POINT (16.375784400100294 48.178379689337135),PA Keplerplatz,10,5.647 m²,Hundezone: 6:00-21:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50e2,1256385,POINT (16.353076286100176 48.15322897203171),Johann-Benda-Park,10,52.810 m²,0:00-24:00,Ja,Ja,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50e3,1256386,POINT (16.378261540824354 48.17929843712701),Humboldtpark,10,2.970 m²,6:00-21:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50e4,1256387,POINT (16.392424051443825 48.1401900299513),Hubert-Blamauer-Park,10,7.883 m²,Ballspielplatz: 6:00-21:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50e5,1256388,POINT (16.394278398975768 48.15452463668085),PA Holzknechtstraße,10,2.125 m²,6:00-21:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50e6,1256389,POINT (16.377536026777346 48.15618786474261),PA Holeyplatz,10,2.073 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50e7,1256390,POINT (16.37780516250255 48.158573692654784),PA Saligergasse,10,32.417 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50e8,1256391,POINT (16.377769545203343 48.16671612660223),Hebbelpark,10,4.028 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50e9,1256392,POINT (16.358776130116006 48.17242629227494),Fortunapark,10,11.026 m²,Ballspielplatz+Hundezone: 6:00-21:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50ea,1256393,POINT (16.35871947002762 48.17792801212155),PA Knöllgasse,10,2.548 m²,0:00-24:00,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50eb,1256394,POINT (16.38825725031715 48.16465695167413),PA Fischhofgasse,10,7.179 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50ec,1256395,POINT (16.381071316516692 48.15472911109662),PA Fingergasse,10,7.427 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50ed,1256396,POINT (16.34964946733008 48.16993464622303),PA Eschenallee,10,3.020 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50ee,1256397,POINT (16.36888888708074 48.17795309259337),PA Erlachplatz,10,4.468 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50ef,1256398,POINT (16.388465845155284 48.14880499735931),PA Bergtaidingweg,10,16.622 m²,0:00-24:00,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50f0,1256399,POINT (16.371304200975544 48.17308977560882),Arthaberpark,10,10.504 m²,Hundezone: 6:00-21:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50f1,1256400,POINT (16.37781800038014 48.170540657903096),Antonspark,10,11.523 m²,Ballspielplatz: 6:00-21:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50f2,1256401,POINT (16.360334777142974 48.1768832726569),Alois-Greb-Park,10,4.974 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50f3,1256402,POINT (16.415333618459837 48.17943022908318),PA Eisteichstraße,11,3.855 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50f4,1256403,POINT (16.410567437446403 48.174776923071335),PA Drischützgasse,11,771 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50f5,1256404,POINT (16.466031874609964 48.15181831154314),PA Csokorgasse,11,6.198 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50f6,1256405,POINT (16.405974693203916 48.17569818198089),Brehmpark,11,751 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50f7,1256406,POINT (16.41454144851939 48.170745968753806),Braunhuberpark,11,4.862 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_50f8,1256440,POINT (16.470314009727634 48.15003420508988),PA Paul-Heyse-Gasse,11,3.236 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
