FID,OBJECTID,SHAPE,ANL_NAME,BEZIRK,FLAECHE,OEFF_ZEITEN,SPIELEN_IM_PARK,WASSER_IM_PARK,HUNDE_IM_PARK,TELEFON,WEBLINK1,SE_ANNO_CAD_DATA
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52ab,1256949,POINT (16.418559002541897 48.231899407775785),PA Am Kaiserwasser,22,47.391 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52ac,1256950,POINT (16.33629934131362 48.193227791830736),PA Haidmannsgasse,15,839 m²,8:00-20:00,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52ad,1256951,POINT (16.36895078090514 48.20491639595682),GA Helmut-Zilk-Platz,1,969 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52ae,1256952,POINT (16.472203386283002 48.245924307794645),Jakob-Bindel-Park,22,6.566 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52af,1256953,POINT (16.27466288436439 48.139851898741114),Bertha-Neumann-Park,23,846 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52b0,1256954,POINT (16.28348401324928 48.141192442695356),PA Robinsonweg,23,7.443 m²,0:00-24:00,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52b1,1256955,POINT (16.291170456015962 48.138378541308995),PA Gaulgasse,23,7.358 m²,0:00-24:00,Nein,Nein,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52b2,1256956,POINT (16.360837082615564 48.14496868139643),PA Kolbegasse,23,3.538 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52b3,1256957,POINT (16.26522408138203 48.16719425401448),PA Friedenszeile,13,824 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52b4,1256958,POINT (16.33321891527862 48.23546095451025),Türkenschanzpark,18,152.026 m²,0:00-24:00,Ja,Ja,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52b5,1256959,POINT (16.302457129921823 48.23833647036323),PA Tichyweg,18,7.970 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52b6,1256960,POINT (16.338950044777068 48.226764537083056),Schubertpark,18,13.358 m²,"Hundezone: 6:00-22:00, Ballspielplatz: Okt-Mär: 6:00-19:00, Apr-Sep: 6:00-22:00",Ja,Ja,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52b7,1256961,POINT (16.298530213148496 48.24593907315648),PA Pötzleinsdorfer Höhe,18,4.580 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52b8,1256962,POINT (16.335757904075834 48.22840986967567),Norbert-Liebermann-Park,18,2.787 m²,0:00-24:00,Nein,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52b9,1256963,POINT (16.308640836105234 48.23459640797733),PA Naaffgasse,18,926 m²,0:00-24:00,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52ba,1256964,POINT (16.31213986291925 48.23902327869191),PA Leopoldsplateau,18,1.786 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52bb,1256965,POINT (16.318071348633445 48.231461754674086),Leopold-Rosenmayr-Park,18,3.985 m²,0:00-24:00,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52bc,1256966,POINT (16.33417108431927 48.23329796047463),Joseph-Kainz-Park,18,4.788 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52bd,1256967,POINT (16.336755412608245 48.223522976100334),PA Johann-Nepomuk-Vogl-Platz,18,887 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52be,1256968,POINT (16.318983453034814 48.23715078155686),Gerda-Lerner-Park,18,1.253 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52bf,1256969,POINT (16.33509164223573 48.226734799493656),Ebner-Eschenbach-Park,18,4.880 m²,"Ballspielplatz: Okt-Mär: 7:00-19:00, Apr-Sep: 7:00-22:00",Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52c0,1256970,POINT (16.34247732793718 48.220844820726505),Anton-Baumann-Park,18,3.181 m²,"Ballspielplatz: Okt-Mär: 7:00-19:00, Apr-Sep: 7:00-22:00",Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52c1,1256971,POINT (16.324593175539082 48.23416863333632),Albert-Dub-Park,18,6.274 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52c2,1256972,POINT (16.29146966844512 48.23333078646812),PA Rudolf-Kirchschläger-Platz,17,534 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52c3,1256973,POINT (16.33462577801235 48.21880743498279),Frederic-Morton-Park,17,2.070 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52c4,1256974,POINT (16.371222226419043 48.23187849651218),Brigittapark,20,8.279 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52c5,1256975,POINT (16.363403221431646 48.2306274753037),Anton-Schmid-Promenade/WP,20,42.241 m²,0:00-24:00,Ja,Ja,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52c6,1256976,POINT (16.364181172457013 48.234720891762386),Anton-Kummerer-Park,20,7.847 m²,Ballspielplatz:Wint: 6:30-21:00|Somm: 6:30-20:30,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52c7,1256977,POINT (16.385086058895144 48.23823740599574),Allerheiligenpark,20,20.230 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52c8,1256978,POINT (16.359094778365268 48.2431800117739),Wertheimsteinpark,19,607.445 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52c9,1256979,POINT (16.35914228105568 48.240110232230194),PA Weilgasse,19,1.892 m²,0:00-24:00,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52ca,1256980,POINT (16.344210320211566 48.24534284445474),Strauß-Lanner-Park,19,8.547 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52cb,1256981,POINT (16.362107944177094 48.25652866975959),PA Steinbüchlweg,19,3.429 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52cc,1256982,POINT (16.30646065821001 48.24806675069684),Ottingerwiese,19,17.297 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52cd,1256983,POINT (16.35653479047507 48.24545396173101),Setagayapark,19,4.817 m²,"Mär: 7:00-17:30, Apr+Sep: 7:00-20:00,Mai-Aug: 7:00-21:00, Okt: 7:00-19:00",Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52ce,1256984,POINT (16.348817990254226 48.24572750741239),Saarpark,19,8.009 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52cf,1256985,POINT (16.348280891274698 48.24313127791878),Richard-Eybner-Park,19,1.934 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52d0,1256986,POINT (16.325701955480877 48.24421576370367),Raimund-Zoder-Park,19,8.422 m²,Wint: 7:00-19:00|Somm: 7:00-22:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52d1,1256987,POINT (16.372234687330405 48.21720971644443),PA Kaiserbadschleuse,2,1.636 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52d2,1256988,POINT (16.360871214081897 48.24764473627703),Rudolf-Grünwald-Park,19,4.822 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52d3,1256989,POINT (16.36174700058038 48.25982654291983),Pfarrer-Mitschke-Park,19,775 m²,0:00-24:00,Nein,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52d4,1256990,POINT (16.31852763850307 48.250951030981675),PA Nottebohmstraße,19,1.720 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52d5,1256991,POINT (16.354597937122676 48.243678879598384),PA Emil-Reich-Hof,19,3.604 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52d6,1256992,POINT (16.338506347117292 48.25485041730426),PA Mannagettasteig,19,1.268 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52d7,1256993,POINT (16.338295071257978 48.23657307436371),PA Linnéplatz,19,5.870 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52d8,1256994,POINT (16.350746128027385 48.25678328730895),Franz-Mayer-Park,19,4.548 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52d9,1256995,POINT (16.34962063644377 48.282189325808176),PA Kuchelau,19,5.883 m²,0:00-24:00,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52da,1256996,POINT (16.366775278767047 48.25391751893148),Hilde-Spiel-Park,19,4.370 m²,"Ballspielplatz: Okt-Mär: 7:00-19:00, Apr-Sep: 7:00-22:00",Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52db,1256997,POINT (16.31786546553971 48.24530842831254),PA Kranlweg,19,450 m²,0:00-24:00,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52dc,1256998,POINT (16.357965473715975 48.247263095769625),PA Klabundgasse,19,2.871 m²,0:00-24:00,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52dd,1256999,POINT (16.34527969111717 48.24203888353978),Karl-Fellinger-Park,19,22.220 m²,0:00-24:00,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52de,1257000,POINT (16.337272112633432 48.24302924559747),PA In der Krim,19,3.614 m²,"Ballspielplatz: Okt-Mär: 7:00-19:00, Apr-Sep: 7:00-22:00",Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52df,1257001,POINT (16.346115032605127 48.249854531662926),PA Hungerbergstraße,19,5.639 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52e0,1257002,POINT (16.333926092956624 48.23971288347754),Hugo-Wolf-Park,19,57.609 m²,0:00-24:00,Ja,Ja,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52e1,1257003,POINT (16.34267767577332 48.23898134764227),Hayekpark,19,3.828 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52e2,1257004,POINT (16.438121803964485 48.269791432602354),PA Dominik-Wölfel-Gasse,21,7.318 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52e3,1257005,POINT (16.45452656215844 48.272792658210214),PA Doderergasse,21,6.433 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52e4,1257006,POINT (16.393835154892578 48.272949143845516),Denglerpark,21,19.815 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.fid--47a0a51d_1807f4594fb_52e5,1257007,POINT (16.421900574669486 48.28029274204471),PA Carabelligasse,21,4.333 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
