FID,OBJECTID,SHAPE,STATION,LINIE,BEMERKUNG,ANLAGEN_ID,GRUPPEN_ID,BETREIBER,SE_ANNO_CAD_DATA
AUFZUGOGD.1690,1690,POINT (16.42081891839881 48.210181638441),STADION,U2,Aufzug fährt vom stadtauswärtigen Aufnahmegebäude Ausgang Stadion auf den U2-Bahnsteig (Fahrtrichtung 2 nach Aspernstraße),SW A04,,Wiener Linien,
AUFZUGOGD.1691,1691,POINT (16.41345784532729 48.191868964268096),ERDBERG,U3,Aufzug fährt vom Mittelbahnsteig in das stadteinwärtige Aufnahmegebäude Ausgang Nottendorfer Straße,ED A03,,Wiener Linien,
AUFZUGOGD.1692,1692,POINT (16.414784592566466 48.19098338051992),ERDBERG,U3,Aufzug fährt vom Mittelbahnsteig in das stadtauswärtige Aufnahmegbeäude Ausgang Franzosengraben,ED A02,,Wiener Linien,
AUFZUGOGD.1693,1693,POINT (16.414766296423988 48.19088742159273),ERDBERG,U3,Aufzug fährt vom stadtauswärtigen Aufnahmegebäude Ausgang Erdbergstraße in das Zwischengeschoss,ED A01,,Wiener Linien,
AUFZUGOGD.1694,1694,POINT (16.34489658213726 48.196925902875456),ZIEGLERGASSE,U3,Aufzug fährt vom Zwischengeschoß (West) an die Oberfläche Ausgang Schottenfeldgasse.,GZ A01,,Wiener Linien,
AUFZUGOGD.1704,1704,POINT (16.31163252784257 48.21159916262628),OTTAKRING,U3,Aufzug fährt vom Gleis 2 Endstation an die Oberfläche Ausgang Thaliastraße.,OK A02,,Wiener Linien,
AUFZUGOGD.1705,1705,POINT (16.30940008664675 48.20531055920216),KENDLERSTRASSE,U3,Aufzug fährt vom U3 Bahnsteig an die Oberfläche Ausgang Opfermanngasse.,KR A01,,Wiener Linien,
AUFZUGOGD.1706,1706,POINT (16.30892616408617 48.20400333302918),KENDLERSTRASSE,U3,Aufzug fährt vom U3 Bahnsteig an die Oberfläche Ausgang Steinbruchstraße.,KR A02,,Wiener Linien,
AUFZUGOGD.1707,1707,POINT (16.4127465781998 48.181362815514746),ZIPPERERSTRASSE,U3,Aufzug fährt vom Bahnsteig zu Oberfläche Ausgang Eisteichstraße und zu Oberfläche Augang Hyblerpark.,PP A02,,Wiener Linien,
AUFZUGOGD.1708,1708,POINT (16.41132551839318 48.17957122180188),ZIPPERERSTRASSE,U3,Aufzug fährt vom Bahnsteig an die Oberfläche Ausgang Zippererstraße / Simmeringer Hauptstraße.,PP A01,,Wiener Linien,
AUFZUGOGD.1709,1709,POINT (16.32951077499921 48.19765362345946),SCHWEGLERSTRASSE,U3,Aufzug fährt vom U3 Bahnsteig zur Oberfläche Ausgang Benedikt Schellingergasse.,SH A01,,Wiener Linien,
AUFZUGOGD.1710,1710,POINT (16.414398569068 48.17495024555412),ENKPLATZ,U3,Aufzug fährt vom Bahnsteig an die Oberfläche Ausgang Gottschalkgasse.,EK A03,,Wiener Linien,
AUFZUGOGD.1711,1711,POINT (16.311855419032323 48.199477467643064),HÜTTELDORFER STR.,U3,Aufzug fährt vom Bahnsteig an die Oberfläche Ausgang Hütteldorferstr./Breitenseerstraße.,HH A04,,Wiener Linien,
AUFZUGOGD.1712,1712,POINT (16.31088934439396 48.20017364790778),HÜTTELDORFER STR.,U3,Aufzug fährt vom Bahnsteig an die Oberfläche Ausgang Feilplatz.,HH A01,,Wiener Linien,
AUFZUGOGD.1713,1713,POINT (16.35108628448655 48.198774103755795),NEUBAUGASSE,U3,Aufzug fährt vom Zwischengeschoß an die Oberfläche Ausgang Neubaugasse.(West),MA A01,,Wiener Linien,
AUFZUGOGD.1714,1714,POINT (16.35130340156852 48.198800249219104),NEUBAUGASSE,U3,Aufzug fährt vom Gleis 2 Richtung Ottakring zu Gleis 1 Richtung Erdberg  und ins Zwischengeschoß Ausgang Stiftgasse/Kirchengasse.(Ost),MA A04,,Wiener Linien,
AUFZUGOGD.1715,1715,POINT (16.3531365958631 48.19947813830029),NEUBAUGASSE,U3,Aufzug fährt vom Gleis 2 Richtung Ottakring zu Gleis 1 Richtung Erdberg und in das Zwischengeschoß Ausgang Neubaugasse/Amerlingstr. (West),MA A02,,Wiener Linien,
AUFZUGOGD.1716,1716,POINT (16.35479068810974 48.20015126895836),NEUBAUGASSE,U3,Aufzug fährt vom Zwischengeschoß an die Oberfläche Ausgang Kirchengasse.(Ost),MA A03,,Wiener Linien,
AUFZUGOGD.1717,1717,POINT (16.336986014098006 48.19588640947909),WESTBAHNHOF,U3,Aufzug fährt vom U3 Bahnsteig an die Oberfläche Ausgang Gerstnergasse (Äusere Mariahilferstraße).,WS A11,,Wiener Linien,
AUFZUGOGD.1718,1718,POINT (16.338499750496627 48.195689686337374),WESTBAHNHOF,U3,Aufzug fährt vom Zwischengeschoß (Stationsw.) an die Oberfläche Äußere Mariahilferstraße. (Niedermeyer),WS A10,,Wiener Linien,
AUFZUGOGD.1719,1719,POINT (16.33911197549412 48.19714272942584),WESTBAHNHOF,U3,Aufzug fährt vom U6 Bahnsteig an die Oberfläche Westbahnhof.,WS A01,,Wiener Linien,
AUFZUGOGD.1720,1720,POINT (16.340241298522567 48.19612111311532),WESTBAHNHOF,U3,Aufzug fährt vom Zwischengeschoß (Stationswart) zu Zwischengeschoß (Toilette) und an die Oberfläche (Innere Mariahilferstraße),WS A06,,Wiener Linien,
AUFZUGOGD.1721,1721,POINT (16.357671574497168 48.20473153754552),VOLKSTHEATER,U3,Aufzug fährt vom Bahnsteig der Linie U2 (Richtung Karlsplatz) an die Oberfläche Ausgang Burggasse.,VT A01,,Wiener Linien,
AUFZUGOGD.1722,1722,POINT (16.360379409660123 48.206628693583724),VOLKSTHEATER,U3,Aufzug fährt vom Zwischengeschoß an die Oberfläche Ausgang Volksgarten.,VT A06,,Wiener Linien,
AUFZUGOGD.1723,1723,POINT (16.358439864942284 48.205038024040036),VOLKSTHEATER,U3,Aufzug fährt vom Bahnsteig der Linie U3 zu dem Bahnsteig der Linie U2 (Richtung Schottenring) Ausgang Bellariastraße.,VT A03,,Wiener Linien,
AUFZUGOGD.1724,1724,POINT (16.359360975087974 48.20583733836144),VOLKSTHEATER,U3,Aufzug fährt vom Bahnsteig der Linie U3 ins Zwischengeschoß Aufgang Ring.,VT A04,,Wiener Linien,
AUFZUGOGD.1695,1695,POINT (16.34733106139342 48.197377788735444),ZIEGLERGASSE,U3,Aufzug fährt vom Gleis 2 Richtung Ottakring zu Gleis 1 Richtung Erdberg und zu Zwischengeschoß. (Ost),GZ A04,,Wiener Linien,
AUFZUGOGD.1696,1696,POINT (16.347676303110173 48.19743010241933),ZIEGLERGASSE,U3,Aufzug fährt vom Zwischengeschoß (Ost) an die Oberfläche Ausgang Otto Bauer Gasse.,GZ A03,,Wiener Linien,
AUFZUGOGD.1697,1697,POINT (16.345327230659528 48.19695204315622),ZIEGLERGASSE,U3,Aufzug fährt vom Gleis 2 Richtung Ottakring zu Gleis 1 Richtung Erdberg und zu Zwischengeschoß. (West),GZ A02,,Wiener Linien,
AUFZUGOGD.1698,1698,POINT (16.319006094871558 48.19821636497357),JOHNSTRASSE,U3,Aufzug fährt vom Zwischengeschoß zu Zwischengeschoß Ausgang Markt und an die Oberfläche.,JO A04,,Wiener Linien,
AUFZUGOGD.1699,1699,POINT (16.32163668637574 48.19753272008296),JOHNSTRASSE,U3,Aufzug fährt vom U3 Bahnsteig an die Oberfläche Ausgang Wasserwelt.,JO A01,,Wiener Linien,
AUFZUGOGD.1700,1700,POINT (16.31926129753297 48.19771212407622),JOHNSTRASSE,U3,Aufzug fährt vom U3 Bahnsteig ins Zwischengeschoß Aufgang Meiselmarkt.,JO A03,,Wiener Linien,
AUFZUGOGD.1701,1701,POINT (16.31103507271738 48.21030143772136),OTTAKRING,U3,Aufzug fährt vom Gleis 1 und 3 Richtung Erdberg an die Oberfläche Ausgang Koppstraße.,OK A04,,Wiener Linien,
AUFZUGOGD.1702,1702,POINT (16.311220199661065 48.21028244294018),OTTAKRING,U3,Aufzug fährt vom Gleis 2 Endstation an die Oberfläche Ausgang Koppstraße.,OK A03,,Wiener Linien,
AUFZUGOGD.1703,1703,POINT (16.311475877377724 48.21161499227078),OTTAKRING,U3,Aufzug fährt vom Gleis1 und 3 Richtung Simmering an die Oberfläche Ausgang Thaliastraße.,OK A01,,Wiener Linien,
AUFZUGOGD.1725,1725,POINT (16.358171606213755 48.20479845399405),VOLKSTHEATER,U3,Aufzug fährt vom Bahnsteig der Linie U3 auf den Bahnsteig der Linie  U2 (Richtung Karlsplatz) Ausgang Burggasse.,VT A02,,Wiener Linien,
AUFZUGOGD.1726,1726,POINT (16.359983063465958 48.20655897919428),VOLKSTHEATER,U3,Aufzug fährt vom Zwischengeschoß an die Oberfläche Ausgang Dr.Karl Renner Ring.,VT A05,,Wiener Linien,
AUFZUGOGD.1727,1727,POINT (16.38507328696094 48.20594144309101),LANDSTRASSE,U3,Aufzug fährt vom U3-Mittelbahnsteig in das Zwischengeschoß.,LA A03,,Wiener Linien,
AUFZUGOGD.1728,1728,POINT (16.39328030503511 48.201552317807995),ROCHUSGASSE,U3,Aufzug fährt vom Mittelbahnsteig in das Aufnahmegebäude Ausgang Rochusmarkt,RG A02,,Wiener Linien,
AUFZUGOGD.1729,1729,POINT (16.391353411350824 48.20256770122937),ROCHUSGASSE,U3,Aufzug fährt vom Mittelbahnsteig in das Aufnahmegebäude Ausgang Hainburger Straße,RG A01,,Wiener Linien,
AUFZUGOGD.1730,1730,POINT (16.310902814852565 48.20018056935861),HÜTTELDORFER STR.,U3,Aufzug fährt vom Bahnsteig an die Oberfläche Ausgang Feilplatz.,HH A02,,Wiener Linien,
AUFZUGOGD.1731,1731,POINT (16.311843976395817 48.19948081430649),HÜTTELDORFER STR.,U3,Aufzug fährt vom Bahnsteig an die Oberfläche Ausgang Hütteldorferstr./Breitenseerstraße.,HH A03,,Wiener Linien,
AUFZUGOGD.1732,1732,POINT (16.339103857177896 48.19716059380263),WESTBAHNHOF,U3,Aufzug fährt vom U6 Bahnsteig an die Oberfläche Westbahnhof.,WS A02,,Wiener Linien,
AUFZUGOGD.1733,1733,POINT (16.339508139135436 48.195970437276245),WESTBAHNHOF,U3,Aufzug fährt vom U3 Bahnsteig zu Zwischengeschoß (Stationswart)  und zum U6 Bahnsteig.,WS A04,,Wiener Linien,
AUFZUGOGD.1734,1734,POINT (16.340243856594835 48.19611661730371),WESTBAHNHOF,U3,Aufzug fährt vom Zwischengeschoß (Stationswart) zu Zwischengeschoß (Toilette) und an die Oberfläche (Innere Mariahilferstraße),WS A07,,Wiener Linien,
AUFZUGOGD.1735,1735,POINT (16.336990707129154 48.195880644777716),WESTBAHNHOF,U3,Aufzug fährt vom U3 Bahnsteig an die Oberfläche Ausgang Gerstnergasse (Äusere Mariahilferstraße).,WS A12,,Wiener Linien,
AUFZUGOGD.1736,1736,POINT (16.339506188947905 48.195974111071685),WESTBAHNHOF,U3,Aufzug fährt vom U3 Bahnsteig zu Zwischengeschoß (Stationswart)  und zum U6 Bahnsteig.,WS A05,,Wiener Linien,
AUFZUGOGD.1737,1737,POINT (16.417705498643645 48.18529662487777),GASOMETER,U3,Aufzug fährt vom Bahnsteig der Linie U3 Gleis 2 an die Oberfläche Ausgang Modecenterstraße/Gasometer,AW A02,,Wiener Linien,
AUFZUGOGD.1738,1738,POINT (16.41751779658006 48.1853538650951),GASOMETER,U3,Aufzug fährt vom Bahnsteig der Linie U3 Gleis 1 an die Oberfläche Ausgang Modecenterstraße/Gasometer.,AW A01,,Wiener Linien,
AUFZUGOGD.1739,1739,POINT (16.380038204594882 48.206980125959234),STUBENTOR,U3,Aufzug fährt vom Seitenbahnsteig (Fahrtrichtung 2 nach Ottakring) auf den Seitenbahnsteig (Fahrtrichtung 1 nach Simmering) und in das Aufnahmegebäude Ausgang Parkring,SE A01,,Wiener Linien,
AUFZUGOGD.1740,1740,POINT (16.40743861135854 48.19412525388416),SCHLACHTHAUSGASSE,U3,Aufzug fährt vom Mittelbahnsteig in das Zwischengeschoß und in das stadtauswärtige Aufnahmegebäude Ausgang Markhofgasse,SG A01,,Wiener Linien,
AUFZUGOGD.1741,1741,POINT (16.405842806601342 48.194810724460034),SCHLACHTHAUSGASSE,U3,Aufzug fährt vom Mittelbahnsteig in das stadteinwärtige Aufnahmegebäude Ausgang Schlachthausgasse und Hainburger Weg Niveau +1,SG A02,,Wiener Linien,
AUFZUGOGD.1742,1742,POINT (16.421336848537578 48.16929872115664),SIMMERING,U3,Aufzug fährt vom Bahnsteig der Linie U3 in das Zwischengeschoß Ausgang Kaiserebersdorferstraße / Strachegasse.,SA A03,,Wiener Linien,
AUFZUGOGD.1743,1743,POINT (16.421122879364024 48.168970945817954),SIMMERING,U3,Aufzug fährt vom Zwischengeschoß an die Oberfläche Ausgang Strachegasse.,SA A04,,Wiener Linien,
AUFZUGOGD.1744,1744,POINT (16.399133007938232 48.19801449422856),KARDINAL-NAGL-PLATZ,U3,Aufzug fährt vom Mittelbahnsteig in das stadteinwärtige Aufnahmgebäude Ausgang Keinergasse,KN A01,,Wiener Linien,
AUFZUGOGD.1745,1745,POINT (16.260816151848868 48.196989922943736),HÜTTELDORF,U4,Aufzug fährt von der Passage auf den U4 Bahnsteig.,HF A01,,Wiener Linien,
AUFZUGOGD.1746,1746,POINT (16.36341045759929 48.22843158205878),FRIEDENSBRÜCKE,U4,Aufzug fährt vom Mittelbahnsteigende in das stadtauswärtige Aufnahmegebäude Ausgang Gussenbauergasse.,FB A01,,Wiener Linien,
AUFZUGOGD.1747,1747,POINT (16.343514004939895 48.1885902716137),MARGARETENGÜRTEL,U4,Aufzug fährt vom Bahnsteig Gleis 2 Richtung Hütteldorf an die Oberfläche.,MG A02,,Wiener Linien,
AUFZUGOGD.1748,1748,POINT (16.34353059298372 48.18846653780467),MARGARETENGÜRTEL,U4,Aufzug fährt vom Bahnsteig Gleis 1 Richtung Heiligenstadt an die Oberfläche.,MG A01,,Wiener Linien,
AUFZUGOGD.1749,1749,POINT (16.32908868777094 48.183652904245974),MEIDLING HAUPTSTRASSE,U4,Aufzug fährt vom Mittelbahnsteig an die Oberfläche Meidlinger Hauptstraße/Lobkowitzbrücke.,MH A01,,Wiener Linien,
AUFZUGOGD.1750,1750,POINT (16.27694529033962 48.19221743550651),OBER ST.VEIT,U4,Aufzug fährt vom Bahnsteig der Linie U4 Gleis 2 Richtung Hütteldorf an die Oberfläche.,OV A02,,Wiener Linien,
AUFZUGOGD.1751,1751,POINT (16.276933552815755 48.19210956087409),OBER ST.VEIT,U4,Aufzug fährt vom Bahnsteig der Linie U4 Gleis 1 Richtung Heiligenstadt an die Oberfläche.,OV A01,,Wiener Linien,
AUFZUGOGD.1752,1752,POINT (16.369035783157575 48.200502931208995),KARLSPLATZ,U4,Aufzug fährt vom U4 Bahnsteig in die Karlsplatzpassage.,KP A05,,Wiener Linien,
AUFZUGOGD.1753,1753,POINT (16.36582809963724 48.24861896341417),HEILIGENSTADT,U4,"Aufzug fährt von der Passage auf den Mittelbahnsteig (Gleis 2, Gleis 4; Fahrtrichtung 2 nach Hütteldorf) und ÖBB-Seitenbahnsteig",HS A02,,Wiener Linien,
AUFZUGOGD.1754,1754,POINT (16.364534711831784 48.209181319388584),HERRENGASSE,U3,Aufzug fährt vom Bahnsteig der Linie U3 ins Zwischengeschoß Aufgang Minoritenplatz.,HZ A03,,Wiener Linien,
AUFZUGOGD.1755,1755,POINT (16.364658843550508 48.20919841174271),HERRENGASSE,U3,Aufzug fährt vom Zwischengeschoß an die Oberfläche Ausgang Herrengasse,HZ A01,,Wiener Linien,
AUFZUGOGD.1756,1756,POINT (16.36454206446912 48.20917338555319),HERRENGASSE,U3,Aufzug fährt vom Bahnsteig der Linie U3 ins Zwischengeschoß Aufgang Minoritenplatz.,HZ A02,,Wiener Linien,
AUFZUGOGD.1757,1757,POINT (16.41990612553702 48.17028853271984),SIMMERING,U3,Aufzug fährt vom Bahnsteig der Linie U3 an die Oberfläche Ausgang Simmeringer Hauptstraße und auf den ÖBB Bahnsteig.,SA A01,,Wiener Linien,
AUFZUGOGD.1758,1758,POINT (16.318454427013496 48.186252216675854),SCHÖNBRUNN,U4,Aufzug fährt vom Bahnsteig der Linie U4 Gleis 2 Richtung Hütteldorf an die Oberfläche.,SB A02,,Wiener Linien,
AUFZUGOGD.1759,1759,POINT (16.31838591147341 48.18613489720607),SCHÖNBRUNN,U4,Aufzug fährt vom Bahnsteig der Linie U4 Gleis 1 Richtung Heiligenstadt an die Oberfläche.,SB A01,,Wiener Linien,
AUFZUGOGD.1768,1768,POINT (16.295091977289193 48.18961269693227),BRAUNSCHWEIGGASSE,U4,Aufzug fährt vom Bahnsteig der Linie U4 Gleis 2 an die Oberfläche Steg/Rampe.,BR A02,,Wiener Linien,
AUFZUGOGD.1769,1769,POINT (16.295047045972126 48.18952226095247),BRAUNSCHWEIGGASSE,U4,Aufzug fährt vom Bahnsteig der Linie U4 Gleis 1 an die Oberfläche Steg/Rampe.,BR A01,,Wiener Linien,
AUFZUGOGD.1770,1770,POINT (16.379223627551287 48.23682903743284),DRESDNER STRASSE,U6,Aufzug fährt vom Mittelbahnsteig in das stadteinwärtige Aufnahmegebäude Ausgang Dresdner Straße,DS A02,,Wiener Linien,
AUFZUGOGD.1771,1771,POINT (16.38102069673985 48.237667500292936),DRESDNER STRASSE,U6,Aufzug fährt vom Mittelbahnsteig in das stadtauswärtige Aufnahmegebäude Ausgang Pasettistraße,DS A01,,Wiener Linien,
AUFZUGOGD.1772,1772,POINT (16.38475867629611 48.24184745198291),HANDELSKAI,U6,Aufzug fährt vom stadteinwärtigen Aufnahmegebäude Ausgang Engerthstraße auf den ÖBB-Bahnsteig (Richtung Wien Floridsdorf),HK A05,,Wiener Linien,
AUFZUGOGD.1773,1773,POINT (16.38517154747547 48.24149274078423),HANDELSKAI,U6,Aufzug fährt vom stadteinwärtigen Aufnahmegebäude Ausgang Engerthstraße auf den U6-Bahnsteig (Fahrtrichtung 1 nach Floridsdorf),HK A08,,Wiener Linien,
AUFZUGOGD.1774,1774,POINT (16.384924751343533 48.241680820971496),HANDELSKAI,U6,Aufzug fährt vom stadteinwärtigen Aufnahmegebäude Ausgang Engerthstraße auf den ÖBB-Bahnsteig (Richtung Wien Meidling und Flughafen),HK A06,,Wiener Linien,
AUFZUGOGD.1775,1775,POINT (16.386021102298564 48.24209040744934),HANDELSKAI,U6,Aufzug fährt vom ÖBB-Mittelbahnsteig (S45) auf den U6-Bahnsteig (Fahrtrichtung 2 nach Siebenhirten),HK A03,,Wiener Linien,
AUFZUGOGD.1776,1776,POINT (16.385003097418192 48.24165778677241),HANDELSKAI,U6,Aufzug fährt vom stadteinwärtigen Aufnahmegebäude Ausgang Engerthstraße auf den U6-Bahnsteig (Fahrtrichtung 2 nach Siebenhirten),HK A07,,Wiener Linien,
AUFZUGOGD.1777,1777,POINT (16.38616229130127 48.2419777192748),HANDELSKAI,U6,Aufzug fährt vom ÖBB-Mittelbahnsteig (S45) auf den U6-Bahnsteig (Fahrtrichtung 1 nach Floridsdorf),HK A04,,Wiener Linien,
AUFZUGOGD.1778,1778,POINT (16.385929745295908 48.24216500310382),HANDELSKAI,U6,Aufzug fährt vom ÖBB-Mittelbahnsteig (S45) auf den ÖBB-Seitenbahnsteig (Richtung Wien Meidling und Flughafen),HK A02,,Wiener Linien,
AUFZUGOGD.1779,1779,POINT (16.38577674044655 48.24233956188316),HANDELSKAI,U6,Aufzug fährt vom ÖBB-Mittelbahnsteig (S45) auf den ÖBB-Seitenbahnsteig (Richtung Wien Floridsdorf),HK A01,,Wiener Linien,
AUFZUGOGD.1780,1780,POINT (16.369760061579644 48.23523717491408),JÄGERSTRASSE,U6,Aufzug fährt vom Mittelbahnsteig in das stadtauswärtige Aufnahmegebäude Ausgang Jägerstraße,JG A01,,Wiener Linien,
AUFZUGOGD.1781,1781,POINT (16.367682381576596 48.2351949338143),JÄGERSTRASSE,U6,Aufzug fährt vom Mittelbahnsteig in das stadteinwärtige Aufnahmegebäude Ausgang Leipziger Platz,JG A02,,Wiener Linien,
AUFZUGOGD.1782,1782,POINT (16.33135000810745 48.173260612878366),BAHNHOF MEIDLING,U6,Aufzug fährt vom Bahnsteig der Linie U6 ins Zwischengeschoß (Zugang zur ÖBB) und an die Oberfläche Ausgang Schedifkaplatz.,PH A02,,Wiener Linien,
AUFZUGOGD.1783,1783,POINT (16.331515881601185 48.174800142208845),BAHNHOF MEIDLING,U6,Aufzug fährt vom Zwischengeschoß auf die Oberfläche Ausgang Wilhelmstraße.,PH A01,,Wiener Linien,
AUFZUGOGD.1784,1784,POINT (16.39449666465288 48.246244886206966),NEUE DONAU,U6,Aufzug fährt vom Aufnahmegebäude Ausgang Neue Donau auf den Bahnsteig (Fahrtrichtung 2 nach Siebenhirten),ND A02,,Wiener Linien,
AUFZUGOGD.1785,1785,POINT (16.286547764891058 48.191105217561905),UNTER ST.VEIT,U4,Aufzug fährt vom Bahnsteig der Linie U4 Gleis 2 Richtung Hütteldorf an die Oberfläche.,UV A02,,Wiener Linien,
AUFZUGOGD.1786,1786,POINT (16.380291486487852 48.20311915289354),STADTPARK,U4,Aufzug fährt vom Bahnsteig der Linie U4 Gleis 1 Richtung Heiligenstadt an die Oberfläche.,ST A01,,Wiener Linien,
AUFZUGOGD.1787,1787,POINT (16.380078517138582 48.203263870786856),STADTPARK,U4,Aufzug fährt vom Bahnsteig der Linie U4 Gleis 2 Richtung Hütteldorf an die Oberfläche.,ST A02,,Wiener Linien,
AUFZUGOGD.1788,1788,POINT (16.394712645861457 48.246121036777375),NEUE DONAU,U6,Aufzug fährt vom Aufnahmegebäude Ausgang Neue Donau auf den Bahnsteig (Fahrtrichtung 1 nach Floridsdorf),ND A01,,Wiener Linien,
AUFZUGOGD.1760,1760,POINT (16.365993871818944 48.248605278760735),HEILIGENSTADT,U4,"Aufzug fährt von der Passage auf den Mittelbahnsteig (Gleis 1, Gleis 3; Fahrtrichtung 1 nach Heiligenstadt)",HS A01,,Wiener Linien,
AUFZUGOGD.1761,1761,POINT (16.367465785312167 48.22267513972342),ROSSAUER LÄNDE,U4,"Aufzug fährt vom Seitenbahnsteigende (Gleis 2, Fahrtrichtung 2 nach Hütteldorf) in das stadtauswärtige Aufnahmegebäude Ausgang Seegasse",RL A02,,Wiener Linien,
AUFZUGOGD.1762,1762,POINT (16.3676188941967 48.222666373593185),ROSSAUER LÄNDE,U4,"Aufzug fährt vom Seitenbahnsteigende (Gleis 1, Fahrtrichtung 1 nach Heiligenstadt) in das stadtauswärtige Aufnahmegebäude Ausgang Seegasse",RL A01,,Wiener Linien,
AUFZUGOGD.1763,1763,POINT (16.304466499529397 48.187529665099994),HIETZING,U4,Aufzug fährt vom Bahnsteig der Linie U4 Gleis 1 Richtung Heiligenstadt an die Oberfläche Kennedybrücke.,HI A01,,Wiener Linien,
AUFZUGOGD.1764,1764,POINT (16.30452334682879 48.187672448629904),HIETZING,U4,Aufzug fährt vom Bahnsteig der Linie U4 Gleis 2 Richtung Hütteldorf an die Oberfläche Kennedybrücke.,HI A02,,Wiener Linien,
AUFZUGOGD.1765,1765,POINT (16.370801206127478 48.20053096588913),KARLSPLATZ,U4,Aufzug führt von Passage Karlsplatz zur Oberfläche - Ausgang Künstlerhaus.,KP A08,,Wiener Linien,
AUFZUGOGD.1766,1766,POINT (16.357544786673383 48.19659936751264),KETTENBRÜCKENGASSE,U4,Aufzug fährt vom Bahnsteig der Linie U4 Gleis 2 Richtung Hütteldorf an die Oberfläche.,KG A02,,Wiener Linien,
AUFZUGOGD.1767,1767,POINT (16.35759930862455 48.19647879758937),KETTENBRÜCKENGASSE,U4,Aufzug fährt vom Bahnsteig der Linie U4 Gleis 1 Richtung Heiligenstadt an die Oberfläche.,KG A01,,Wiener Linien,
AUFZUGOGD.1789,1789,POINT (16.400462096745706 48.2562646846014),FLORIDSDORF,U6,Aufzug fährt vom U6-Mittelbahnsteig in die Passage und auf den ÖBB-Bahnsteig (Richtung Flughafen),FL A01,,Wiener Linien,
AUFZUGOGD.1790,1790,POINT (16.400494156830625 48.25625752880155),FLORIDSDORF,U6,Aufzug fährt vom U6-Mittelbahnsteig in die Passage und auf den ÖBB-Bahnsteig (Richtung Flughafen),FL A02,,Wiener Linien,
AUFZUGOGD.1791,1791,POINT (16.334378633833637 48.184422784762376),LÄNGENFELDGASSE,U6,Aufzug fährt vom Bahnsteig der Linie U6 Gleis 1 Richtung Floridsdorf / der Linie U4 Gleis 2 Heiligenstadt an die Oberfläche.,LE A01,,Wiener Linien,
AUFZUGOGD.1792,1792,POINT (16.334296793710397 48.184489408232515),LÄNGENFELDGASSE,U6,Aufzug fährt vom Bahnsteig der Linie U6 Gleis 2 Richtung Siebenhirten / der Linie U4 Gleis 2 Hütteldorf an die Oberfläche,LE A02,,Wiener Linien,
AUFZUGOGD.1793,1793,POINT (16.331075383830395 48.18042597761699),NIEDERHOFSTRASSE,U6,Aufzug fährt vom U6 Bahnsteig ins Zwischengeschoß (Telefon) und an die Oberfläche Ausgang Vivenotgasse.,NH A01,,Wiener Linien,
AUFZUGOGD.1794,1794,POINT (16.337706904843678 48.19079419726881),GUMPENDORFER STRASSE,U6,Aufzug fährt von Ausgang auf Bahnsteig der Linie U6 Gleis 1 Richtung Floridsdorf.,GU A01,,Wiener Linien,
AUFZUGOGD.1795,1795,POINT (16.337377139137512 48.19078388965508),GUMPENDORFER STRASSE,U6,Aufzug fährt von Ausgang auf Bahnsteig der Linie U6 Gleis 2 Richtung Siebenhirten.,GU A02,,Wiener Linien,
AUFZUGOGD.1796,1796,POINT (16.316701876490505 48.15116010728584),ALTERLAA,U6,Aufzug fährt von Ausgang Anton Baumgartner Straße zu Zwischengeschoß Passage und auf Bahnsteig der Linie U6 Gleis 2 Richtung Siebenhirten.,AE A02,,Wiener Linien,
AUFZUGOGD.1797,1797,POINT (16.317071661590145 48.151219656353426),ALTERLAA,U6,Aufzug fährt von Ausgang Anton Baumgartner Straße zu Bahnsteig der Linie U6 Gleis 1 Richtung Floridsdorf.,AE A01,,Wiener Linien,
AUFZUGOGD.1798,1798,POINT (16.316430474929014 48.141792839652474),ERLAAER STRASSE,U6,Aufzug fährt von Ausgang auf Bahnsteig der Linie U6 Gleis 2 Richtung Siebenhirten.,ES A02,,Wiener Linien,
AUFZUGOGD.1799,1799,POINT (16.316633124517377 48.14178648535687),ERLAAER STRASSE,U6,Aufzug fährt von Ausgang auf Bahnsteig der Linie U6 Gleis 1 Richtung Floridsdorf.,ES A01,,Wiener Linien,
AUFZUGOGD.1800,1800,POINT (16.309598685653622 48.12997335696389),SIEBENHIRTEN,U6,Aufzug fährt von Ausgang auf Bahnsteig der Linie U6 Gleis 2 Endstation.,HT A02,,Wiener Linien,
AUFZUGOGD.1801,1801,POINT (16.309803669443575 48.12994722988339),SIEBENHIRTEN,U6,Aufzug fährt von Ausgang auf Bahnsteig der Linie U6 Gleis 1 Richtung Floridsdorf.,HT A01,,Wiener Linien,
AUFZUGOGD.1802,1802,POINT (16.31325468786525 48.136511859817524),PERFEKTASTRASSE,U6,Aufzug fährt von Ausgang auf Bahnsteig der Linie U6 Gleis 1 Richtung Floridsdorf.,PF A01,,Wiener Linien,
AUFZUGOGD.1803,1803,POINT (16.31307550680698 48.13654774427872),PERFEKTASTRASSE,U6,Aufzug fährt von Ausgang auf Bahnsteig der Linie U6 Gleis 2 Richtung Siebenhirten.,PF A02,,Wiener Linien,
AUFZUGOGD.1804,1804,POINT (16.341663314947265 48.2167396705003),ALSER STRASSE,U6,Aufzug fährt vom Ausgang zu Bahnsteig der Linie U6 Gleis 2 Fahrtrichtung Siebenhirten.,AS A02,,Wiener Linien,
