FID,OBJECTID,SHAPE,STATION,LINIE,BEMERKUNG,ANLAGEN_ID,GRUPPEN_ID,BETREIBER,SE_ANNO_CAD_DATA
AUFZUGOGD.1609,1609,POINT (16.362154132990472 48.21396451760762),Universitätsring,,Aufzug fährt von der Oberfläche in die Passage,WL_9,,Stadt Wien,
AUFZUGOGD.1610,1610,POINT (16.36946681720059 48.2026401660621),Opernring,,Aufzug fährt von der Oberfläche in die Passage,WL_10,,Stadt Wien,
AUFZUGOGD.1611,1611,POINT (16.36973547674506 48.20202854826027),Opernring,,Aufzug fährt von der Oberfläche in die Passage,WL_11,,Stadt Wien,
AUFZUGOGD.1612,1612,POINT (16.45163917932792 48.227264344365665),Smolagasse,,Aufzug fährt vom Fußweg in der Smolagasse auf den Vernholzsteg,WL_12,,Stadt Wien,
AUFZUGOGD.1613,1613,POINT (16.45208307553934 48.22714698606989),Vernholzgasse,,Aufzug fährt von der Vernholzgasse auf den Vernholzsteg,WL_13,,Stadt Wien,
AUFZUGOGD.1614,1614,POINT (16.260990792697275 48.19662195564189),Hackingersteg,,Aufzug fährt vom Vorplatz des Bahnhofs auf den Hackiner Steg,WL_14,,Stadt Wien,
AUFZUGOGD.1615,1615,POINT (16.424081412613695 48.23798603556844),ALTE DONAU,U1,Aufzug fährt vom Aufnahmegebäude Ausgang Arbeiterstrandbadstraße auf den U1-Seitenbahnsteig (Fahrtrichtung 2 nach Reumannplatz),AD A02,,Wiener Linien,
AUFZUGOGD.1616,1616,POINT (16.41576797213797 48.232628034746675),KAISERMÜHLEN - V.I.C.,U1,Aufzug fährt vom Aufnahmegebäude Ausgang Schüttaustraße auf den U1-Seitenbahnsteig (Fahrtrichtung 2 nach Reumannplatz),KM A02,,Wiener Linien,
AUFZUGOGD.1617,1617,POINT (16.41603124265991 48.2324478067877),KAISERMÜHLEN - V.I.C.,U1,Aufzug fährt vom Aufnahmegebäude Ausgang Schüttaustraße auf den U1-Seitenbahnsteig (Fahrtrichtung 1 nach Leopoldau),KM A01,,Wiener Linien,
AUFZUGOGD.1618,1618,POINT (16.443662191341353 48.25075555023879),KAGRANER PLATZ,U1,Aufzug fährt vom U1-Mittelbahnsteig in das stadtauwärtige Aufnahmegebäude Ausgang Kagraner Platz,KT A04,,Wiener Linien,
AUFZUGOGD.1619,1619,POINT (16.44299136380755 48.24991417167471),KAGRANER PLATZ,U1,Aufzug fährt vom U1-Mittelbahnsteig in das stadteinwärtige Aufnahmegebäude Ausgang Donaufelderstraße/Wagramerstraße.,KT A01,,Wiener Linien,
